TIC_ID,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde
183593602,1386.2880783258588,0.9886821911027497,9.163010348943606,0.03571105276590458,1.0886296714585941,13.82900047,3041.0,0.178,3,0.1933,0.5347,5.09895992,0.09787726672255172,0.9938452767054782,0.9636714003435958,2.5739101044898844,6.05229992382093,6.335204850164924
391744540,1385.9601848177665,0.9986611814738727,1.0519438223426392,0.007324836756856246,2.690197594000605,8.66499996,7398.0,2.39564991,19,0.2683,0.2357,3.90688992,0.034153920246036036,0.9988498008488711,0.998644568963632,1.7293669552036248,26.62829223969281,6.525048980119493
150098777,1412.5149178766787,0.99850943642301,10.51723018673177,0.24569068721517073,14.215955660223091,3.9460001,6000.0,1.0,3,0.354,0.2157,4.0,0.035511847520403,0.9987344618195942,0.9985957882392211,4.067124295420044,56.62558546821946,5.369386156431237
270558473,1325.6143454847825,0.9983071925562437,0.6969167628697461,0.0027930412329754684,1.8102637545451885,5.4369998,7555.0,5.48783016,38,0.2353,0.2551,4.0,0.03857541164309203,0.9981808823111106,0.9986285899832315,5.0136791229370745,35.310422013823164,9.476528444666194
259517011,1390.7571807647087,0.9854775333567775,5.33211368472153,0.12291713736847365,17.26917965814702,9.92099953,5239.0,3.31722999,2,0.4179,0.2078,3.34847999,0.10952865201281674,0.9871007372485748,nan,nan,47.45087128801375,10.209723624966067
306772594,1438.7113132029554,0.9994296578000557,6.476772801647725,0.017337371301504145,0.9120385634446994,10.30300045,6799.0,1.18973005,4,0.293,0.2308,4.45253992,0.022196837953304314,0.9995244663084712,0.9994716743684974,0.1469806409597227,4.398503038495956,4.95444943155362
220405759,1354.1438916076418,0.9968229719451243,0.8079541424040259,0.0010375860782697588,0.4468040013245238,9.03299999,6876.0,1.77054,33,0.3026,0.2256,4.11608982,0.052317449958982264,0.9960243556404706,0.9982936998630366,9.242226043170088,20.57403348829766,10.853148128129297
167724857,1325.9705882597425,0.9993135847268736,2.657241327117865,0.018315999495974955,3.8499044603983767,8.84000015,7747.0,1.95958996,10,0.2396,0.2457,4.11609983,0.024565929004989495,0.9993203810845125,0.9993828582391289,1.0446614961696963,28.07457970068916,6.302265376808
382519218,1438.22363915733,0.9992355378710438,1.5117535295030333,0.005824958579443318,2.1959287317804677,9.53800011,7127.0,1.85607004,17,0.2801,0.2331,4.10148001,0.02575630979920664,0.9992855672862987,0.9993098396092475,0.3008358422896265,22.586099918651644,7.800922912927203
149248969,1441.0664652184937,0.9997016232056594,4.537597966626635,0.04340720729611336,3.074613712887789,10.77099991,5995.0,1.18128002,6,0.3345,0.2282,4.33696985,0.015929831062932456,0.9996280439516475,0.9996360016058985,0.039681757766168155,5.397310347395324,5.319854315310177
35744583,1410.9940707666726,0.9412375072347157,2.0698124810263088,0.024299225185065998,1.2637418768320843,11.41699982,4203.0,0.683864,12,0.4429,0.2201,4.58638,0.2189328343893693,0.9471218935747503,0.9467200988344735,0.19881950122485578,90.66379983808089,9.702871931210726
55652785,1325.896554368668,0.9087332236303486,1.6938806048104929,0.006393562460410451,3.0142617214803438,10.10599995,6369.81982422,1.24959004,16,0.3115,0.2298,4.29441023,0.27981194617393473,0.9164061853383375,0.9160224607571467,0.2777071270404297,272.98852209906096,18.594015822298353
237914586,1388.858317424554,0.9994785523497871,4.014406148476333,0.08322535264167508,9.419474760026567,2.85400009,6000.0,1.0,5,0.354,0.2157,4.0,0.02100406590312021,0.9995276050684747,0.9995507608450517,0.7152268869763612,30.654551304688443,5.429862797528941
