tic_id,Sector_24,Filename_24,Sector_25,Filename_25,Sector_23,Filename_23,Sector_21,Filename_21,Sector_22,Filename_22
390022199,24,tess2020106103520-s0024-0000000390022199-0180-s_lc.fits,25,tess2020133194932-s0025-0000000390022199-0182-s_lc.fits,23,tess2020078014623-s0023-0000000390022199-0177-s_lc.fits,21,tess2020020091053-s0021-0000000390022199-0167-s_lc.fits,22,tess2020049080258-s0022-0000000390022199-0174-s_lc.fits
219755626,24,tess2020106103520-s0024-0000000219755626-0180-s_lc.fits,25,tess2020133194932-s0025-0000000219755626-0182-s_lc.fits,23,tess2020078014623-s0023-0000000219755626-0177-s_lc.fits,21,tess2020020091053-s0021-0000000219755626-0167-s_lc.fits,22,tess2020049080258-s0022-0000000219755626-0174-s_lc.fits
235680687,24,tess2020106103520-s0024-0000000235680687-0180-s_lc.fits,25,tess2020133194932-s0025-0000000235680687-0182-s_lc.fits,23,tess2020078014623-s0023-0000000235680687-0177-s_lc.fits,21,tess2020020091053-s0021-0000000235680687-0167-s_lc.fits,22,tess2020049080258-s0022-0000000235680687-0174-s_lc.fits
264175420,24,tess2020106103520-s0024-0000000264175420-0180-s_lc.fits,25,tess2020133194932-s0025-0000000264175420-0182-s_lc.fits,23,tess2020078014623-s0023-0000000264175420-0177-s_lc.fits,21,tess2020020091053-s0021-0000000264175420-0167-s_lc.fits,22,tess2020049080258-s0022-0000000264175420-0174-s_lc.fits
459978923,24,tess2020106103520-s0024-0000000459978923-0180-s_lc.fits,25,tess2020133194932-s0025-0000000459978923-0182-s_lc.fits,23,tess2020078014623-s0023-0000000459978923-0177-s_lc.fits,21,tess2020020091053-s0021-0000000459978923-0167-s_lc.fits,22,tess2020049080258-s0022-0000000459978923-0174-s_lc.fits
441794048,24,tess2020106103520-s0024-0000000441794048-0180-s_lc.fits,25,tess2020133194932-s0025-0000000441794048-0182-s_lc.fits,23,tess2020078014623-s0023-0000000441794048-0177-s_lc.fits,21,tess2020020091053-s0021-0000000441794048-0167-s_lc.fits,22,tess2020049080258-s0022-0000000441794048-0174-s_lc.fits
230382377,24,tess2020106103520-s0024-0000000230382377-0180-s_lc.fits,25,tess2020133194932-s0025-0000000230382377-0182-s_lc.fits,23,tess2020078014623-s0023-0000000230382377-0177-s_lc.fits,21,tess2020020091053-s0021-0000000230382377-0167-s_lc.fits,22,tess2020049080258-s0022-0000000230382377-0174-s_lc.fits
198277670,24,tess2020106103520-s0024-0000000198277670-0180-s_lc.fits,25,tess2020133194932-s0025-0000000198277670-0182-s_lc.fits,23,tess2020078014623-s0023-0000000198277670-0177-s_lc.fits,21,tess2020020091053-s0021-0000000198277670-0167-s_lc.fits,22,tess2020049080258-s0022-0000000198277670-0174-s_lc.fits
230391018,24,tess2020106103520-s0024-0000000230391018-0180-s_lc.fits,25,tess2020133194932-s0025-0000000230391018-0182-s_lc.fits,23,tess2020078014623-s0023-0000000230391018-0177-s_lc.fits,21,tess2020020091053-s0021-0000000230391018-0167-s_lc.fits,22,tess2020049080258-s0022-0000000230391018-0174-s_lc.fits
198358376,24,tess2020106103520-s0024-0000000198358376-0180-s_lc.fits,25,tess2020133194932-s0025-0000000198358376-0182-s_lc.fits,23,tess2020078014623-s0023-0000000198358376-0177-s_lc.fits,21,tess2020020091053-s0021-0000000198358376-0167-s_lc.fits,22,tess2020049080258-s0022-0000000198358376-0174-s_lc.fits
