TIC,Orbital Period Value,Orbital Period Error,Orbital Epoch Value,Full TOI ID,Group Disposition,Public Comment
322054600,1.34323,8e-05,1764.78921,1616.01,PC,small centroid offset in SPOC s24; 2 stars in pixel
322202434,1.40127,6e-05,1739.32643,1617.01,PC,potential synchronization in s18; some depth-aperture correlation
376838000,2.1679,0.00031,1765.05965,1618.01,PC,some depth-aperture correlation
377144784,2.38723,0.00066,1765.69449,1619.01,PC,shallow secondary eclipse that might be due to a planet; check fainter neighbor
378291076,1.59878,0.00049,1764.90206,1620.01,PC,
387260717,6.45054,0.0016,1743.1838,1621.01,PC,possible L1 candidate; potentially stellar variability
388076005,1.71225,0.00017,1740.09256,1622.01,PC,check 1981348402 - no stellar information
407394748,0.75235,7e-05,1792.28183,1623.01,PC,2 stars in pixel
461387302,5.80783,0.00195,1765.95018,1624.01,PC,Centroid offset; significant depth-aperture correlation
470852531,1.49446,0.00023,1765.53404,1625.01,PC,shallow secondary eclipse might be due to a planet 
424435940,5.01961,0.0,1685.94218,1627.01,KP,WASP-58b
284475976,2.14372,2e-05,1685.04192,1628.01,KP,WASP-48b
157586003,3.33069,0.0,1684.67452,1626.01,KP,WASP-153b
310003988,4.5421,0.00036,1741.43492,1629.01,KP,WASP-113 b
348673213,0.901465,0.000192,1791.468047,1639.01,PC,Level one candidate; check neighbors; crowded field
286355915,4.076758,0.000171,1793.115658,1637.01,PC,
165551882,12.15828,0.005805,1798.104217,1633.01,PC,Marginal level one candidate; possible instrument noise
317597583,12.05279,0.004039,1773.87256,1630.01,PC,Level one candidate
422923265,1.864989,0.000181,1791.787255,1641.01,PC,Centroid offset; not centered on another star
29054413,7.626095,0.001614,1795.502383,1631.01,PC,Potential level one; period could be double
312862941,0.915094,7.9e-05,1791.146368,1638.01,PC,
51024887,8.249187,0.0032,1797.344998,1632.01,PC,Check neighbors
396562848,1.949394,0.000146,1792.604851,1640.01,PC,Level one candidate
201186294,0.98933,0.000106,1791.515001,1634.01,PC,Level one candidate
269892793,1.772988,4.2e-05,1792.135458,1636.01,PC,Large; even-odd at 2.46 sigma; v-shaped
230086768,8.857783,0.000751,1797.127328,1635.01,PC,
298647682,40.158135,0.002056,1691.506686,1643.01,PC,crowded field; could be on 1551165177; period should be 20 days
22843856,1.849754,5.9e-05,1790.980282,1644.01,PC,V-shaped; seems to be synchronized with variability
184679932,2.172142,1.9e-05,1791.425546,1645.01,PC,possibly inflated hot Jupiter; synchronized; possible secondary
387527558,3.623909,0.002748,1794.103356,1646.01,PC,Period should be 3.62 days which is P/3 of the period in DV report
154927364,6.97378,0.0003,1688.99201,1647.01,PC,Radius too large; follow-up suggests a low-mass binary companion
376353509,7.33454,0.00243,1796.28088,1648.01,PC,potential L1; low snr
116608612,3.45572,0.00012,1817.81858,1649.01,PC,
122485078,9.1505,0.0034,1822.09874,1650.01,PC,
