rowid,TIC_ID,TESS Disposition,TFOPWG Disposition,Planet SNR,Sectors,Comments,Full TOI ID,Group Disposition,Orbital Epoch Value,Orbital Period Error,Orbital Period Value,Public Comment
656,158025009,PC,PC,8.87343,23,TOI 1416 under investigation; potential L1 candidate,1416.01,PC,1928.8117539999998,0.000155,1.069606,TOI 1416 under investigation; potential L1 candidate
657,158170594,KP,KP,13.631075,26,Kepler-412 b,1240.01,KP,1684.8023039999994,0.000294,1.7211509999999999,Kepler-412 b
658,158276040,PC,PC,25.0,14,low priority; likely single transit,1192.01,PC,1687.28994,,,low priority; likely single transit
659,158297421,PC,CP,22.588066,13,,1073.01,CP,1655.9586,0.000458,3.9231800000000003,
660,158324245,KP,KP,145.54425,"14,15",KOI-13 b,1161.01,KP,1683.5538179999999,5.9999999999999995e-05,1.7635939999999999, KOI-13 b
661,158561566,KP,KP,12.086262,26,Kepler-14 b,1267.01,KP,1685.28463,0.002588,6.790541999999999,Kepler-14 b
662,158588995,PC,PC,53.596184,9,No GAIA DR2 Radius,674.01,PC,1544.5237960000006,4.4e-05,1.977238,No GAIA DR2 Radius
663,158623531,KP,KP,137.823349,"2,3",WASP-105,246.01,KP,1355.7325210000001,0.000122,7.872846000000001,WASP-105
664,158978373,,,20.876177,11,,823.01,PC,1609.006746,0.003295,13.539445,
665,159107668,PC,PC,12.060833,"14,15",KOI 5.01,1241.01,PC,1685.074153,0.0009199999999999999,4.779966,KOI 5.01
666,159418353,PC,PC,7.309042,"14,19",,1739.01,PC,1685.2278219999994,0.00020800000000000001,8.303966,L1 candidate
667,159510109,EB,FP,137.581726,"14,15",False positive; TOI released on secondary of an EB with primary transit visible in multisector data,1141.01,FP,1687.5977329999994,0.00061,16.947643,False positive; TOI released on secondary of an EB with primary transit visible in multisector data 
668,159742538,KP,KP,71.93542,25,TrES-4 b,,KP,,,,TrES-4 b
669,159781361,PC,PC,15.711379999999998,24,,2019.01,PC,1958.2875920000001,0.005577,15.347453,
670,159873822,PC,PC,14.0,24,variable star; potential L1 candidate; some odd-even differences in qlp,2048.01,PC,1739.1133300000001,0.00045999999999999996,13.790220000000001,variable star; potential L1 candidate; some odd-even differences in qlp
671,159951311,KP,KP,89.092186,"3,4",,265.01,KP,1387.571092,0.00011399999999999999,5.924426,
672,160045097,PC,PC,7.752319,21,multi; small shoulders on ingress and egress; v-shaped,1782.01,PC,1872.6220289999999,0.001102,4.987638,multi; small shoulders on ingress and egress; v-shaped
673,160074939,PC,PC,7.757574000000001,2,The transit signal maybe caused by scattered light.,230.01,PC,1366.329788,0.004364,13.340145000000001,The transit signal maybe caused by scattered light.
