,Unnamed: 0,TIC_ID,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde,Mass,distance,lum,rho,Camera,CCD,RA,DEC,PMRA,PMDEC,PMTOTAL,MH
3015,3015,232035006,2178.9665753236995,0.9987070808379076,12.895385679169967,inf,31.473498514845136,10.88689995,5594.0,0.861556,2.0,0.3785,0.2075,4.56313992,0.0329405890473447,0.9998980409081284,0.9995761535606305,3.0996016892576765,7.085748239218344,5.407090396798292,0.99,169.93,0.6548642,1.54805,3,4,96.5365408322422,-43.5448207989886,-12.2953,6.71335,14.00869267,
3016,3016,192797704,2174.253817243397,0.9995542212346358,11.429317468654663,0.06252158038989107,1.7640603889154007,9.20110035,5315.0,0.809072,3.0,0.4036,0.2028,4.5858798,0.019254592695283027,0.9996964364766676,0.9994628691957312,1.3101034940187215,6.857102655606314,6.301050155196643,0.92,67.9928,0.470632434,1.73711,3,1,82.2944387042696,-39.9779875621447,-9.95923,-28.4132,30.10807527,
3017,3017,365639115,2174.350202996519,0.9661515228020408,0.6014838558923182,-6.141954754318148,1.5950017049149974,13.66679955,3989.0,0.887333,40.0,0.339,0.2994,4.33429003,0.16832872678901692,0.9707954709562832,0.970120439821838,0.8638538554829804,99.46813742740385,10.840781027846182,0.62,284.134,0.17960722699999998,0.887426,1,3,81.4252538719818,8.25231666293689,70.616,-23.2684,74.35077602,
3018,3018,11295159,2174.777304710966,0.9967504813446642,1.7407953724995806,0.015295670716432341,4.4872852688109255,5.69110012,7166.77001953,1.5305,14.0,0.2757,0.2311,4.27252007,0.0531575701479648,0.9961716060746928,0.9978193159359194,11.804791166507675,39.37937856004064,6.000973562272877,1.6,41.8382,5.567471,0.44628900000000005,1,2,84.8797938648578,-3.56470239460273,-4.24998,1.77838,4.60705605,
3019,3019,33063882,2174.428722777614,0.9954840470607594,1.6894814784703296,0.01957477076170033,4.374071385725692,5.96290016,6740.72998047,2.04811,15.0,0.3158,0.2206,3.97373009,0.06224577969713097,0.9959598842809618,0.9959575477895484,0.030053673839156164,61.5728886117749,7.695261463996649,1.44,57.8628,7.80237627,0.16761199999999998,2,2,88.5583620546537,-29.1472421539368,-9.51312,-25.4927,27.20987331,
3020,3020,141096071,2175.5664645997313,0.9985161062377468,1.5710817015277456,0.0035709524234170953,0.5828804005346725,11.87860012,4176.0,0.678956,15.0,0.529,0.231,4.0,0.034133618603891185,0.9986963926930617,0.9986053787222045,0.2015895926815574,8.18186318588628,15.837136215425945,,,,,4,3,79.6491156366058,-74.8973777427546,61.3714,1.58071,61.39175337,
3021,3021,179385044,2174.2315814433405,0.998342495898896,6.3683576964984425,0.051534253642413035,5.3489047340277525,11.97360039,6000.0,,4.0,0.3685,0.5069,4.0,0.0362474257827612,0.9977214260323821,0.9989289986543336,2.360727150458456,9.717347480135262,6.0940615211841935,,8251.17,,,4,3,79.8571669340255,-68.8593117294016,1.68364,0.270938,1.70530087,
3022,3022,231915091,2174.4688357827717,0.9981705712540152,0.605470030892798,0.0007517099072428812,0.4235055228772216,10.75160027,7875.0,1.45889,40.0,0.2448,0.2339,4.38418007,0.04011022475252575,0.9982053277916888,0.9983922715340819,0.7405020021655817,16.151433596049078,10.84258573322006,1.88,448.782,7.374614,0.605472,3,4,92.6990013749367,-47.778123475941,-5.37658,11.604,12.78907458,
3023,3023,144499196,2176.403109518888,0.9981204906705986,2.467790760859053,0.04052053286867685,6.2655999465275585,8.75790024,6000.0,,9.0,0.3685,0.5069,4.0,0.038598649202543314,0.9983527228688333,0.9984680229047737,1.697303439705682,57.60916721899042,8.403979533596914,,,,,3,1,84.2721280109384,-39.5406745328784,32.9,9.3,34.18917957,
3024,3024,220601642,2187.109540183441,0.9968944730335628,12.932672053222165,inf,1.3580220993922405,11.20580006,5927.0,1.14134,1.0,0.3454,0.2253,4.35665989,0.051296829896641714,,0.9971954867980248,,9.520402277701713,6.071806951597623,1.08,287.375,1.44831538,0.7264079999999999,3,4,83.1538639823639,-44.6083395745179,2.8721,4.68565,5.49584155,
3025,3025,100760601,2187.123400289096,0.9929298795523172,12.954347551328043,inf,1.806047081776496,8.57979965,3874.0,56.3305,1.0,0.5718,0.2059,4.0,0.0740265663370805,,0.9938975545423174,,59.74626875887943,32.761458357603225,,1675.04,,,3,1,88.1628966398784,-32.2768811735838,-3.10115,5.28637,6.128853,
3026,3026,412198946,2174.3132496185667,0.9995222273752608,0.7983756925486243,0.0007202634812201183,0.4499953484027938,7.66844988,7359.0,2.60997,30.0,0.2683,0.2357,3.82828999,0.020402826398767098,0.9995756072372942,0.9995076269144256,0.774888293748516,13.570817697602074,11.574287989267313,1.673,179.21599999999998,17.99869,0.0941,1,3,80.4186499959532,12.6683128323769,6.46946,-30.5912,31.26780181,
3027,3027,150393049,2174.4895828507997,0.9934680789213199,0.6360213845109058,0.0016033234048750675,1.1542433739979452,8.01060009,7663.0,4.21659,39.0,0.2458,0.2616,3.44099998,0.07557742554892359,0.9942219968004464,0.9937186273856321,1.9749962700618025,35.67664142097925,10.23251085006632,1.79,356.523,55.234726,0.023876400000000002,4,1,96.7988989141854,-60.1051587930102,2.49336,6.84361,7.28366954,
3028,3028,350136750,2174.241858112017,0.9905431852643002,12.913950921071477,inf,0.905960195809634,10.07209969,5535.79980469,1.11622,2.0,0.3862,0.2061,4.32933998,0.08896384583574443,0.98993836976189,,,40.05585592830499,22.536794549766675,0.97,135.969,1.05418324,0.6974640000000001,4,3,52.6124972496575,-78.368930878265,-40.3375,-52.5313,66.23180041,-0.30000001
3029,3029,294399068,2187.107591858633,0.9984999503326306,12.898158750325356,inf,1.1165861371084191,9.42609978,4311.0,0.681217,1.0,0.4834,0.1895,4.59756994,0.034798923771282284,,0.9981044644575922,,13.941944348422613,13.169112014324622,0.67,40.2336,0.14440351699999998,2.11943,4,1,109.246390377191,-59.1227181582437,-104.98,-6.64597,105.19015789,
3030,3030,30267198,2177.6779468284685,0.9992830743085764,5.175376630970679,0.06115377492450014,6.45813273126682,11.11690044,5796.0,39.7061,5.0,0.3622,0.3078,4.0,0.02436371430992352,0.9994914623214806,0.9992348719506458,1.2268638051087672,8.754018508265622,6.704390575553857,,8275.93,,,4,3,74.1667054525734,-69.6989877183235,1.88247,-0.1319,1.8870853,
