rowid,TIC_ID,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde,Mass,distance,lum,rho,Disposition,Group Comment
178,27649847,1492.724447340545,0.9978095287457062,1.5419229228740123,0.004586500470467936,0.9139539612405808,12.4289999,3439.0,0.42002799999999996,15.0,0.1604,0.4325,4.97486019,0.0437659409623196,0.9981427614446928,0.9977937816371928,0.5230690385710202,8.864799648116898,14.919437073078985,0.41389499999999996,60.9425,0.02291206,5.5854099999999995,PC,Small star; marginal transit
179,375542276,1684.8274038888285,0.9914854761034358,3.0750483977244323,0.010504052486393745,1.0656734303919448,9.41800022,6000.0,,5.0,0.1741,0.3912,4.0,0.08640168247808737,0.9913093794607336,0.99107162175409,0.5206267791330662,55.7220698713978,18.201792226851786,,391.245,,,PC,
180,170849515,1451.0472823667171,0.8459704094561954,13.139506304159331,inf,1.501211582413,14.91499996,3837.0,0.633668,1.0,0.2946,0.3316,4.72607994,0.36109719289273823,,0.8540368764903078,,21.440775175502747,25.45614632119185,0.614735,385.689,0.08620776,2.41603,PC,possible hot Jupiter.
181,269450900,1657.63731560615,0.9975967550165419,2.324593344189759,0.011990275607249856,3.968059894252125,7.28900003,8660.0,2.64617,11.0,0.1911,0.2468,3.94575,0.046382160374711885,0.997802824923043,0.9978200661154846,0.2934151654471073,219.85398926660636,17.976911388409494,2.18,177.74099999999999,35.94246670000001,0.117654,FP,Possible centroid shift
182,170634116,1412.8981630467927,0.9877614657691184,3.6601215686536537,0.01371988003285285,2.3488173180157297,9.67500019,6600.0,1.48532,5.0,0.2847,0.231,4.20892,0.1029850171844522,0.9880884827291846,0.9879307207306732,1.1515264389932292,136.79997490629222,26.819921644369053,1.54,246.69,4.777732,0.469962,KP,WASP-79b
183,82128636,1521.504441974916,0.9986866593356108,7.477499946062246,0.02240478900077569,1.0438008019134069,8.78999996,6680.0,2.33511,3.0,0.2801,0.2331,4.20035982,0.03375937113670704,0.9988570305996072,0.9988413831144536,0.07239457024680601,17.84291472557899,8.852800739321946,1.59,237.035,12.774581,0.124874,PC,
184,377191482,1740.0907505349967,0.9998018021383116,2.226197157163701,0.011102082479002462,1.924287338702164,8.80519962,5054.0,6.1692800000000005,8.0,0.4152,0.2817,4.0,0.012706765443044277,0.999824791641473,0.9998161380265792,0.1176222166295205,6.952097756877094,5.4810439650200165,,386.26599999999996,,,PC,Giant star
185,408159788,1442.1435706805744,0.9990966835543146,7.271723755049709,0.013661482546535986,0.5629884113777226,10.56900024,5710.0,0.8476600000000001,4.0,0.3785,0.2075,4.57496023,0.02753376703325372,0.9992013970491844,0.9990246778824646,0.2803768886458293,5.142811158075644,5.344539975727346,0.982,145.407,0.621759951,1.6123,FP,SG1 check if it is on target.
186,73228647,1572.6485185377032,0.9996624877246142,2.539854340262951,0.010479486124588044,2.06959460213744,9.45800018,6003.0,0.986649,9.0,0.3495,0.2247,4.47355986,0.016898291647091553,0.99971718985463,0.9996634543833391,0.5376760156447683,8.933962489687378,11.858928811506024,1.03,106.307,0.9707804,1.0723799999999999,PC,low SNR
187,206466531,1386.0941152930386,0.9996808696958316,1.426583052182263,0.00698441733571753,1.3290255040444106,9.99199963,6364.29980469,1.3342,14.0,0.3115,0.2298,4.36000013,0.016546034276205632,0.999691155928606,0.9997214166837972,0.26886013913868023,7.334554217485858,11.468817102841609,1.27,223.145,2.631123,0.534734,FP,
