TIC_ID,TESS Disposition,TFOPWG Disposition,Planet SNR,Sectors,Comments,Full TOI ID,Group Disposition,Orbital Epoch Value,Orbital Period Error,Orbital Period Value,Public Comment
53427308,PC,FP,13.0,20,Small depth-aperture correlation; odd/even not reliable because fit fails; short transit duration for a big star; steep ingress and shallow egress could be due to disintegrating planet,1733.01,FP,1844.7654,0.00192,5.80322,Small depth-aperture correlation; odd/even not reliable because fit fails; short transit duration for a big star; steep ingress and shallow egress could be due to disintegrating planet
53458803,KP,KP,116.0,"6,7",,1913.01,KP,1471.9692599999994,9e-05,3.34862,
53593457,PC,FP,9.624941,6,possible secondary,543.01,FP,1468.3321019999994,0.000146,0.5308930000000001,possible secondary
53617134,PC,,36.0,25,possible centroid offset; match to 53617127,2033.01,PC,1794.68368,0.00053,18.82452,possible centroid offset; match to 53617127
53709089,PC,,9.0,24,odd/even from qlp; check neighbor tic53709074,2035.01,PC,1793.50485,0.00054,8.512260000000001,odd/even from qlp; check neighbor tic53709074
53735810,KP,KP,39.438835,9,WASP-66b,661.01,KP,1544.1685619999994,0.000383,4.0865300000000016,WASP-66b
53750200,KP,KP,20.0,"6,7",,1914.01,KP,1469.00065,0.00045,4.19268,
53875855,PC,,24.0,17,signficiant odd-even; likely EB,1491.01,PC,1769.16143,0.00119,4.49321,signficiant odd-even; likely EB
54002556,PC,,29.0,3,Single transit; potential transits at BJD 1390 and 1402.5,1847.01,PC,1390.70655,,,Single transit; potential transits at BJD 1390 and 1402.5
54044474,PC,FP,111.0,9,,1045.01,FP,1545.9224800000006,0.00015,3.70426,
54085154,PC,FP,13.519842,9,,662.01,FP,1543.299953,0.000112,1.001166,
54364414,PC,FP,21.0,25,potential L1 candidate,2041.01,FP,1792.09482,3e-05,1.37474,potential L1 candidate
54390047,PC,,9.0,7,marginal,998.01,PC,1492.59241,0.00043,0.94083,marginal
54962195,PC,,9.389264,9,,663.01,PC,1544.390641,0.0005,2.598654,
55092869,KP,KP,74.665642,9,KELT 11b,664.01,KP,1544.341451,0.000234,4.7360940000000005,KELT 11b
55383975,PC,FP,85.158592,"1,4,5,6",likely gas giant,694.01,FP,1366.770735,0.001034,48.05216,likely gas giant
55452495,PC,FP,20.0,2,2x period; hot star; may not be on target,336.01,FP,1328.46551,7e-05,8.85709,2x period; hot star; may not be on target
55488511,PC,,8.038872,5,Low SNR; no GAIA radius,557.01,PC,1439.541685,0.0006259999999999999,3.345431,Low SNR; no GAIA radius
55525572,PC,CP,15.288789000000001,"4,5,6,8,9",possible single event close to BJD  2457000 = 1540,813.01,CP,1454.659802,0.00719,83.899464,possible single event close to BJD  2457000 = 1540
55559618,PC,FA,9.781613,"1,2,3,4,5,6",GAIA Rstar = 0.855 R_solar,695.01,FA,1346.417188,0.001372,21.37511,GAIA Rstar = 0.855 R_solar
55650590,PC,,14.420712,"1,2,3,4,5,6",,206.01,PC,1325.542258,8e-06,0.73632,
55652896,PC,CP,144.75,"1,2,3,4,5,6",,216.02,CP,1325.378225,0.000442,17.081922,
58463434,PC,,29.0,10,single event,2003.01,PC,1579.36532,,,single event
58542531,PC,,11.764502,19,potential L1 candidate,1683.01,PC,1816.411928,0.000336,3.057601,potential L1 candidate
59003115,PC,FP,7.231075,5,Need SG1 to check nearby stars and especially TIC 59003118 (T=17.34 mag).,556.01,FP,1439.0759,0.000938,2.294185,Need SG1 to check nearby stars and especially TIC 59003118 (T=17.34 mag).
59843967,KP,KP,34.093102,6,HATS-4,474.01,KP,1468.52065,0.000167,2.516825,HATS-4
59859387,PC,,47.0,"7,8",V-shaped; some odd-even; crowded field; CTOI from Luke Bouma,1881.01,PC,1492.61576,8e-05,1.12027,V-shaped; some odd-even; crowded field; CTOI from Luke Bouma
61098812,KP,KP,112.59056000000001,23,WASP-54 b,1833.01,KP,1931.236409,0.000113,3.69358,WASP-54 b
61538902,KP,KP,77.813034,10,WASP-129 b,752.01,KP,1573.686982,0.000291,5.747952,WASP-129 b
61988212,PC,FP,16.535254000000002,10,Likely EB; Gaia Rstar = 0.66Rsun,753.01,FP,1569.455416,4.9e-05,0.555255,Likely EB; Gaia Rstar = 0.66Rsun
62483237,PC,,0.8885370000000001,1,Level 1 candidate,139.01,PC,1334.896388,0.00257,11.058421,Level 1 candidate
63303499,PC,,16.0,"6,7",possible NEB to E; TIC 63303496,644.01,PC,1469.8553,0.00048,1.92699,possible NEB to E; TIC 63303496
63698669,PC,,7.979284,2,second transit event is real single transit and others are spurious; CTOI from Planet Hunters TESS,1892.01,PC,1364.632073,,,second transit event is real single transit and others are spurious; CTOI from Planet Hunters TESS
63898957,PC,,8.706955,3,ambiguous period,261.01,PC,1387.285571,0.000985,3.361391,ambiguous period
64071894,PC,,10.18843,4,two stars in same pixel,458.01,PC,1414.163706,0.003168,17.529885,two stars in same pixel
64553698,PC,FP,101.0,"16,17",,1397.01,FP,1739.38447,0.0007700000000000001,8.679110000000001,
