tic_id,Sector,Filename
310009611,9,tess2019058134432-s0009-0000000310009611-0139-s_lc.fits
394137592,1,tess2018206045859-s0001-0000000394137592-0120-s_lc.fits
415969908,2,tess2018234235059-s0002-0000000415969908-0121-s_lc.fits
432549364,17,tess2019279210107-s0017-0000000432549364-0161-s_lc.fits
280097543,13,tess2019169103026-s0013-0000000280097543-0146-s_lc.fits
152476657,4,tess2018292075959-s0004-0000000152476657-0124-s_lc.fits
85031598,19,tess2019331140908-s0019-0000000085031598-0164-s_lc.fits
160148385,2,tess2018234235059-s0002-0000000160148385-0121-s_lc.fits
186599508,18,tess2019306063752-s0018-0000000186599508-0162-s_lc.fits
440100539,17,tess2019279210107-s0017-0000000440100539-0161-s_lc.fits
468880077,5,tess2018319095959-s0005-0000000468880077-0125-s_lc.fits
120247528,13,tess2019169103026-s0013-0000000120247528-0146-s_lc.fits
81212286,20,tess2019357164649-s0020-0000000081212286-0165-s_lc.fits
323295479,11,tess2019112060037-s0011-0000000323295479-0143-s_lc.fits
167418903,11,tess2019112060037-s0011-0000000167418903-0143-s_lc.fits
234519192,2,tess2018234235059-s0002-0000000234519192-0121-s_lc.fits
102195674,9,tess2019058134432-s0009-0000000102195674-0139-s_lc.fits
79748331,13,tess2019169103026-s0013-0000000079748331-0146-s_lc.fits
117979455,5,tess2018319095959-s0005-0000000117979455-0125-s_lc.fits
36724087,9,tess2019058134432-s0009-0000000036724087-0139-s_lc.fits
344926234,8,tess2019032160000-s0008-0000000344926234-0136-s_lc.fits
183985250,2,tess2018234235059-s0002-0000000183985250-0121-s_lc.fits
256886630,15,tess2019226182529-s0015-0000000256886630-0151-s_lc.fits
30828562,8,tess2019032160000-s0008-0000000030828562-0136-s_lc.fits
12862099,3,tess2018263035959-s0003-0000000012862099-0123-s_lc.fits
362249359,9,tess2019058134432-s0009-0000000362249359-0139-s_lc.fits
122220263,14,tess2019198215352-s0014-0000000122220263-0150-s_lc.fits
19451711,7,tess2019006130736-s0007-0000000019451711-0131-s_lc.fits
268644785,7,tess2019006130736-s0007-0000000268644785-0131-s_lc.fits
354594208,17,tess2019279210107-s0017-0000000354594208-0161-s_lc.fits
190998418,17,tess2019279210107-s0017-0000000190998418-0161-s_lc.fits
445822015,9,tess2019058134432-s0009-0000000445822015-0139-s_lc.fits
153976959,14,tess2019198215352-s0014-0000000153976959-0150-s_lc.fits
309402106,1,tess2018206045859-s0001-0000000309402106-0120-s_lc.fits
270380593,4,tess2018292075959-s0004-0000000270380593-0124-s_lc.fits
7088246,13,tess2019169103026-s0013-0000000007088246-0146-s_lc.fits
366622912,7,tess2019006130736-s0007-0000000366622912-0131-s_lc.fits
290348383,13,tess2019169103026-s0013-0000000290348383-0146-s_lc.fits
38603673,4,tess2018292075959-s0004-0000000038603673-0124-s_lc.fits
404340025,11,tess2019112060037-s0011-0000000404340025-0143-s_lc.fits
48476907,9,tess2019058134432-s0009-0000000048476907-0139-s_lc.fits
308050066,9,tess2019058134432-s0009-0000000308050066-0139-s_lc.fits
35857242,4,tess2018292075959-s0004-0000000035857242-0124-s_lc.fits
296780789,8,tess2019032160000-s0008-0000000296780789-0136-s_lc.fits
329277372,16,tess2019253231442-s0016-0000000329277372-0152-s_lc.fits
248111245,10,tess2019085135100-s0010-0000000248111245-0140-s_lc.fits
51024887,18,tess2019306063752-s0018-0000000051024887-0162-s_lc.fits
336732616,1,tess2018206045859-s0001-0000000336732616-0120-s_lc.fits
306996324,10,tess2019085135100-s0010-0000000306996324-0140-s_lc.fits
115771549,16,tess2019253231442-s0016-0000000115771549-0152-s_lc.fits
294301883,10,tess2019085135100-s0010-0000000294301883-0140-s_lc.fits
97409519,1,tess2018206045859-s0001-0000000097409519-0120-s_lc.fits
140691463,9,tess2019058134432-s0009-0000000140691463-0139-s_lc.fits
219698950,10,tess2019085135100-s0010-0000000219698950-0140-s_lc.fits
177244357,17,tess2019279210107-s0017-0000000177244357-0161-s_lc.fits
