tic_id,Sector,Filename
439399308,2,tess2018234235059-s0002-0000000439399308-0121-s_lc.fits
287405060,4,tess2018292075959-s0004-0000000287405060-0124-s_lc.fits
350822079,3,tess2018263035959-s0003-0000000350822079-0123-s_lc.fits
41110118,1,tess2018206045859-s0001-0000000041110118-0120-s_lc.fits
167125688,2,tess2018234235059-s0002-0000000167125688-0121-s_lc.fits
373985596,3,tess2018263035959-s0003-0000000373985596-0123-s_lc.fits
92451818,1,tess2018206045859-s0001-0000000092451818-0120-s_lc.fits
149154927,2,tess2018234235059-s0002-0000000149154927-0121-s_lc.fits
141826495,4,tess2018292075959-s0004-0000000141826495-0124-s_lc.fits
308452846,5,tess2018319095959-s0005-0000000308452846-0125-s_lc.fits
293936044,2,tess2018234235059-s0002-0000000293936044-0121-s_lc.fits
25155310,1,tess2018206045859-s0001-0000000025155310-0120-s_lc.fits
177079606,5,tess2018319095959-s0005-0000000177079606-0125-s_lc.fits
300327482,1,tess2018206045859-s0001-0000000300327482-0120-s_lc.fits
47510709,2,tess2018234235059-s0002-0000000047510709-0121-s_lc.fits
219411071,5,tess2018319095959-s0005-0000000219411071-0125-s_lc.fits
167304933,2,tess2018234235059-s0002-0000000167304933-0121-s_lc.fits
259586708,4,tess2018292075959-s0004-0000000259586708-0124-s_lc.fits
444166967,2,tess2018234235059-s0002-0000000444166967-0121-s_lc.fits
38573584,5,tess2018319095959-s0005-0000000038573584-0125-s_lc.fits
373844472,4,tess2018292075959-s0004-0000000373844472-0124-s_lc.fits
389079188,1,tess2018206045859-s0001-0000000389079188-0120-s_lc.fits
382159806,5,tess2018319095959-s0005-0000000382159806-0125-s_lc.fits
260188633,2,tess2018234235059-s0002-0000000260188633-0121-s_lc.fits
206386455,3,tess2018263035959-s0003-0000000206386455-0123-s_lc.fits
299899924,3,tess2018263035959-s0003-0000000299899924-0123-s_lc.fits
382069441,4,tess2018292075959-s0004-0000000382069441-0124-s_lc.fits
374858533,5,tess2018319095959-s0005-0000000374858533-0125-s_lc.fits
308851582,4,tess2018292075959-s0004-0000000308851582-0124-s_lc.fits
279738571,2,tess2018234235059-s0002-0000000279738571-0121-s_lc.fits
316915351,2,tess2018234235059-s0002-0000000316915351-0121-s_lc.fits
231867117,2,tess2018234235059-s0002-0000000231867117-0121-s_lc.fits
176778986,4,tess2018292075959-s0004-0000000176778986-0124-s_lc.fits
365250144,4,tess2018292075959-s0004-0000000365250144-0124-s_lc.fits
52368076,1,tess2018206045859-s0001-0000000052368076-0120-s_lc.fits
220565429,2,tess2018234235059-s0002-0000000220565429-0121-s_lc.fits
111716892,2,tess2018234235059-s0002-0000000111716892-0121-s_lc.fits
260269256,2,tess2018234235059-s0002-0000000260269256-0121-s_lc.fits
220433363,5,tess2018319095959-s0005-0000000220433363-0125-s_lc.fits
167415965,1,tess2018206045859-s0001-0000000167415965-0120-s_lc.fits
206362352,1,tess2018206045859-s0001-0000000206362352-0120-s_lc.fits
308746785,1,tess2018206045859-s0001-0000000308746785-0120-s_lc.fits
177080157,5,tess2018319095959-s0005-0000000177080157-0125-s_lc.fits
279743325,1,tess2018206045859-s0001-0000000279743325-0120-s_lc.fits
167045028,5,tess2018319095959-s0005-0000000167045028-0125-s_lc.fits
326394317,1,tess2018206045859-s0001-0000000326394317-0120-s_lc.fits
328350926,4,tess2018292075959-s0004-0000000328350926-0124-s_lc.fits
198074117,5,tess2018319095959-s0005-0000000198074117-0125-s_lc.fits
453100169,3,tess2018263035959-s0003-0000000453100169-0123-s_lc.fits
150145438,4,tess2018292075959-s0004-0000000150145438-0124-s_lc.fits
279958827,4,tess2018292075959-s0004-0000000279958827-0124-s_lc.fits
261104864,4,tess2018292075959-s0004-0000000261104864-0124-s_lc.fits
167574282,2,tess2018234235059-s0002-0000000167574282-0121-s_lc.fits
40343782,3,tess2018263035959-s0003-0000000040343782-0123-s_lc.fits
284194837,2,tess2018234235059-s0002-0000000284194837-0121-s_lc.fits
139198430,1,tess2018206045859-s0001-0000000139198430-0120-s_lc.fits
306580215,3,tess2018263035959-s0003-0000000306580215-0123-s_lc.fits
234330747,2,tess2018234235059-s0002-0000000234330747-0121-s_lc.fits
141686804,2,tess2018234235059-s0002-0000000141686804-0121-s_lc.fits
149215262,4,tess2018292075959-s0004-0000000149215262-0124-s_lc.fits
260476635,4,tess2018292075959-s0004-0000000260476635-0124-s_lc.fits
31797806,1,tess2018206045859-s0001-0000000031797806-0120-s_lc.fits
44670257,5,tess2018319095959-s0005-0000000044670257-0125-s_lc.fits
184688874,3,tess2018263035959-s0003-0000000184688874-0123-s_lc.fits
167008868,2,tess2018234235059-s0002-0000000167008868-0121-s_lc.fits
372816349,1,tess2018206045859-s0001-0000000372816349-0120-s_lc.fits
152589104,4,tess2018292075959-s0004-0000000152589104-0124-s_lc.fits
140891597,5,tess2018319095959-s0005-0000000140891597-0125-s_lc.fits
441012098,1,tess2018206045859-s0001-0000000441012098-0120-s_lc.fits
229151691,3,tess2018263035959-s0003-0000000229151691-0123-s_lc.fits
290170195,3,tess2018263035959-s0003-0000000290170195-0123-s_lc.fits
176931266,1,tess2018206045859-s0001-0000000176931266-0120-s_lc.fits
