rowid,TIC_ID,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde,Mass,distance,lum,rho,Disposition
5030,261397043,1386.6923958446494,0.9998583069950058,0.8337954215845024,0.0019552435879516827,0.7535464685181263,8.83199978,6265.0,1.08958,23.0,0.3454,0.2253,4.44402981,0.010957136700876308,0.9998804221153644,0.9999282118455688,0.6909697957543306,3.9953219576097134,4.9233205701041305,1.06,93.916,1.26989317,0.819456,J
5031,358176584,1411.567604352197,0.9932133406104764,0.9050835985810558,0.0076492752960936605,2.251979439824063,11.19200039,3943.0,0.5277729999999999,24.0,0.2315,0.3808,4.62900019,0.07636903074792185,0.9939325417324554,0.9937507923548154,0.8941883221982182,53.0286222085959,8.654785998383584,0.524824,51.9351,0.04552535,3.5700300000000005,J
5032,396697136,1386.941424794723,0.99433830802303,1.379692450210661,0.01816620168452665,3.838588504898144,10.64999962,4931.0,0.834334,14.0,0.4307,0.2796,4.50425005,0.06771282659892572,0.9952364091132028,0.9950733207124668,1.147494449306668,88.32505759921258,8.877164086220414,,125.63,,,J
5033,166839389,1356.5916660115554,0.999898750916572,2.494441037673993,0.01718463467743825,3.2435954009903996,7.54400015,6426.54003906,1.7459099999999999,10.0,0.3332,0.2167,4.0,0.009292303580492723,0.9999569747763364,0.9999394599855422,0.6413131724641861,5.47574138483942,7.521086203737591,1.3,96.8078,4.68434334,0.244273,J
5034,147458631,1423.0817384220056,0.9981088469015972,12.965703932874925,inf,5.5747098160622715,9.31000042,5906.0,1.9563400000000002,2.0,0.354,0.2157,3.90310001,0.040000125986097916,0.9968353661794854,0.9998510164519789,16.77063626929466,35.017433327582324,6.939067011143655,1.11,214.762,4.51061869,0.148249,J
5035,308307445,1413.4236343748812,0.9967178082837074,8.233049590218709,0.10540857077735756,4.505335379089084,11.56000042,6864.0,1.2433100000000001,3.0,0.3115,0.2298,4.18097019,0.05306300846179852,0.9987468203323786,0.992549590392388,13.952393728925822,20.661101195457803,4.899452049061837,1.29,400.806,2.3570447,0.671203,J
5036,220577776,1387.8142753480279,0.9997551158331716,2.4277126156607043,0.006080591663186308,0.7937032906494578,9.18999958,6466.0,1.4273,8.0,0.3014,0.231,4.20738983,0.014520793037738962,0.999820121805928,0.9997355734278504,0.6252262715682617,4.620281259305048,4.86472736095599,1.36,170.92,3.38238788,0.467724,J
5037,234302317,1325.97655112466,0.9977373459520896,0.7540763952705808,0.0009312582094456734,0.4852472159682412,8.61699963,7443.0,1.8512400000000002,35.0,0.23399999999999999,0.35600000000000004,4.13534021,0.04418049598330225,0.9981376107355164,0.9976782680488656,1.7537094386673318,19.166771747598105,8.796324382312582,,181.819,,,J
5038,51912829,1325.9018816820014,0.9974467003412686,0.8351419320027115,0.003201312625086217,1.0601714055658933,9.48099995,6082.0,2.07012,32.0,0.3383,0.2164,3.77654004,0.046618489459908,0.997614528888646,0.9976534422452392,0.4607794795584536,94.58398788697565,19.276377932063813,1.21,264.72,5.89501524,0.13639500000000002,EB
5039,431479801,1355.3069556360072,0.9999295316802141,6.049553114951327,0.0404644539593253,4.028432210406737,6.80800009,6677.20019531,2.01457,4.0,0.3158,0.2206,4.0,0.007775568752983006,0.9999298620622676,0.9999458135255316,0.5846084987066689,6.401642830134617,6.878725066571822,1.41,83.70100000000002,7.26837444,0.172453,J
5040,141471392,1413.9837698397118,0.9991277902915836,4.548717939316019,0.03655044458331913,4.394777588767633,10.93400002,4483.0,,6.0,0.3685,0.5069,4.0,0.026294221780328732,0.9993996151296374,0.999537854089983,0.515223623932476,7.396752128354849,5.593479964625621,,94.0344,,,J
5041,382631664,1411.554339870165,0.964411800758788,0.6646341619771656,0.001973524381808478,1.2013071707345135,13.29399967,4908.0,0.789265,34.0,0.4036,0.2028,4.0,0.17203929503345478,0.9654173081523744,0.9675911890498964,1.7118856117959018,46.48773243771511,13.173294500303381,0.92,408.199,0.451251864,1.87119,J
5042,349762144,1386.5805683705034,0.9945172698690744,1.0206541407151803,0.009594269585938007,2.6788083243993017,13.07400036,3171.0,,19.0,0.3685,0.5069,4.0,0.06592472067403246,0.9952942621970374,0.9953245502214824,0.05120510567137467,21.17873334704284,7.100627834556548,,,,,J
5043,137796218,1354.5972527155975,0.9999154387242446,0.6449927446607867,0.0007692609466191658,0.11479462368899168,8.31299973,6174.0,1.47948,40.0,0.3507,0.2158,4.14888,0.008463727039643496,0.9999180898974208,0.9998397713611802,0.7907767811160911,3.34515411264771,5.7850777353558325,1.167,107.58,2.81558156,0.360363,J
5044,350764481,1410.9427348336096,0.9952751713231149,0.7457961279875635,0.00229920441792042,1.1056344681020724,9.14700031,6994.0,,30.0,0.3685,0.5069,4.16917992,0.0611987985586489,0.9955820085842372,0.9958438531620234,0.5981468823672559,24.531297228530512,7.035387498725496,,643.3728,,,J
5045,204613785,1411.3598300460458,0.9967698986687632,2.0024914125499915,0.01962620806328264,4.858401705578414,6.83400011,6920.0,1.83517,12.0,0.3026,0.2256,4.0,0.052752629952495966,0.9972295764863311,0.9969611504046464,1.3478342179707816,44.63394645447817,5.215161128863335,1.51,80.815,6.95780039,0.244314,J
5046,220473037,1386.6492226121875,0.9994194799362044,0.986926538321736,0.011581963927311643,2.6868340235061767,8.6079998,6365.0,1.37899,18.0,0.3014,0.231,4.19807005,0.022357261138093543,0.9995097299296524,0.9994567956164742,1.3624663200756777,35.93955322719556,6.1107309932751575,1.37,127.483,3.219431,0.522436,J
5047,49558810,1386.2253323173825,0.9348674271968151,3.3522346392965936,0.009371563600976796,1.8789947865281635,10.19499969,5001.0,1.05007,5.0,0.4136,0.1999,4.2343998,0.2323423376876448,0.9380997467645582,0.939218364955715,0.4565076200854695,210.67930862187745,29.355592589199773,0.89,136.58700000000002,0.731385231,0.768668,EB
5048,167246729,1354.1959602437041,0.9984862129465648,0.7400105514733697,0.0012326425728990118,0.451261258890845,8.86499977,7673.0,2.10454,34.0,0.2353,0.2551,3.98885989,0.03647868568523547,0.9985822069043488,0.9985493905556728,0.19709341081276333,20.739498500846086,10.497929439423851,1.76,261.651,13.1383419,0.188816,J
5049,471012589,1335.3072250853875,0.9924386224600495,13.940152224790594,inf,2.1160228432013586,9.11600018,3034.0,0.47,2.0,0.5221,0.3406,4.81521988,0.07626409118143275,0.9977831496267262,0.9832396683624008,12.647780114936971,27.447060462655287,8.243336022709252,0.526,,0.0168636944,5.06631,IS
5050,350434379,1389.2081329453156,0.9997199674513568,4.046476050200011,0.06365848848031197,9.38664736486972,8.588000300000001,4268.0,16.8859,5.0,0.4794,0.2623,1.58556998,0.014934565871998226,0.999766612176832,0.99975275283377,0.3364025027124909,15.475717757646258,3.6280771775645606,,768.01,,,J
5051,471015674,1392.6675446216834,0.9954866435569706,9.997419829095046,0.06708843706489097,2.8894293239220614,11.80700016,3480.0,0.377,2.0,0.5221,0.3406,4.87457991,0.058920911194398774,0.99651662334542,0.9951138235578014,0.9476390113612356,7.720703570049106,6.980309095550063,0.388,,0.0187799484,7.24115,IS
5052,120958609,1411.5900491005414,0.998984884926234,0.7872727765233842,0.003888254058226903,1.9141973938407708,7.24399996,8181.0,1.9074099999999998,28.0,0.1838,0.2463,4.06883001,0.03018694888747668,0.99895649421003,0.9990484935469599,1.9724527804332093,43.279379492424354,9.827264160144935,2.187,133.084,18.986517000000006,0.31515,J
5053,294978051,1389.034077897585,0.999591821252221,3.2126426257815917,0.014758158523033638,1.2812720369373334,9.89500046,6191.12011719,1.71815,6.0,0.3339,0.3162,4.06143999,0.01847261305671812,0.9996607981334908,0.9996280027493304,0.1726233006757868,5.3588579511278365,6.747758149092911,,157.395,,,EB
5054,294754816,1386.3068970784354,0.9998623996800992,1.6178111728106257,0.015369507170522212,3.977466603343189,6.98000002,6676.0,,12.0,0.2895,0.3402,4.0,0.010794440740118977,0.9998930612629908,0.9998522735622496,2.0994387894318027,17.653577978451953,5.718619544367003,,93.37068,,,J
5055,260635563,1443.9566470241216,0.9996370914414796,6.151951802042818,0.03241633087585916,3.4469236839394717,6.57499981,4491.0,7.55426,4.0,0.4649,0.2692,2.42699003,0.017040755017779522,0.999735706972402,0.9996498819892582,1.5300474514129074,15.127655909225268,5.005106817581308,,143.81799999999996,,,J
