rowid,TIC_ID,Probability,Unnamed: 0,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde,Mass,distance,lum,rho,Camera,CCD,RA,DEC,PMRA,PMDEC,PMTOTAL,MH,Disposition,Comments
36,369984032,0.14465637505054474,3460,2038.0325506602496,0.9505378455336018,6.190276137153468,0.02943569074862085,3.0910934502507854,10.37889957,5362.0,1.09420002,4.0,0.3947,0.2049,4.32836008,0.20313899453840686,0.959242685901506,0.9556400300080056,1.8066330892818303,123.17564898901415,23.008941112271557,0.93,158.406,0.89165324,0.7098909999999999,1,2,306.356167766087,-45.8292119684157,39.6278,-78.1819,87.65142338,,,
37,350443417,5.195750418351963e-05,3500,2037.2745220650602,0.8055202135833678,1.2166358491565046,0.002687459217676991,1.9521616816036047,8.98079967,7636.0,1.52367997,19.0,0.2559,0.2329,4.32270002,0.4127246098702553,0.8215579819265734,0.8214735991213009,0.021013560171368423,504.3060233719957,28.628469588265794,1.78,199.929,7.111233,0.5032,4,4,85.30463304154341,-57.4411661123974,11.1173,15.8371,19.34962779,,,
38,55650494,0.0008328710682690144,3505,2038.283987832565,0.7583148353330609,5.609566487712464,0.0214338654850601,2.9554017876730785,12.40890026,4514.0,0.99223,4.0,0.5037,0.1581,4.29610014,0.4412910846939762,0.7660746287157717,0.8243701068675445,5.981987760079463,174.5099982203511,28.552554795272158,0.71,252.987,0.368269533,0.7268100000000001,4,1,73.84670870249991,-62.7500569100161,11.5682,21.2803,24.22136287,,,
39,341498715,2.330511311214706e-25,3536,2037.6791868263108,0.9867323515406192,12.181275326285677,inf,28.58163836591711,9.35319996,5290.0,0.85033202,2.0,0.4036,0.2028,4.53793001,0.1050440905939894,0.9907623763394259,0.9867473917925104,58.53198718293229,54.838764283978605,9.51765270736137,0.91,75.9758,0.5101460999999999,1.48005,2,2,318.521575289822,-63.7003730186086,37.4339,-66.0439,75.91504196,,,
40,468150795,0.0001871667627710849,3580,2038.4692798048845,0.7861934484514036,2.1919928237690205,0.007705245056233155,2.9733065806361605,11.49699974,5465.0,1.49248004,9.0,0.3861,0.2114,4.07251978,0.4227960866241903,0.8085643999371804,0.8045059952453365,0.8195390869875211,293.9255781835222,23.18539618273425,0.96,352.065,1.79008245,0.288765,3,3,307.123651315272,-87.77124453899759,11.7309,-20.3034,23.448711399999997,,,
41,350522251,0.0005168968345969915,3589,2036.841270645064,0.9987694211361344,0.7432109243185105,0.002436190700029428,1.4315858693082957,10.86240005,6918.0,1.5618,32.0,0.3026,0.2256,4.22979021,0.032560477737827456,0.9988099974100708,0.9989574144895744,1.1132562600649691,20.55822971250053,10.001372647337233,1.51,411.108,5.033459,0.396372,4,4,86.4433419223633,-55.580118774541205,-6.52118,-14.9392,16.300475,,,
42,382259669,7.408333386853261e-13,3590,2036.3831040387254,0.9993056501159324,0.6709702527620717,0.001520209391055849,0.4475176769686544,6.73199987,7594.0,1.70434999,35.0,0.2353,0.2551,4.22291994,0.024705632264516296,0.9993633705611888,0.9993326541614428,0.3787429346195944,18.216763381282124,11.341709316292935,1.77,81.7181,8.703552,0.357515,4,4,82.6863623527484,-57.16004990319549,-42.2208,-7.12975,42.81856242,,,
43,388129392,2.7264603769117105e-11,3628,2036.8919283715964,0.9980356717666614,0.6414798438835838,0.0011447315691460733,0.4793150817849324,8.92800045,7973.0,1.72195005,36.0,0.2273,0.2465,4.24933004,0.041650888097049886,0.9980077398190288,0.9983495700683512,1.59228644701406,19.92550824283712,9.753314546876414,1.92,236.278,10.795063,0.376042,4,1,63.567525730330104,-67.1106228957757,10.777999999999999,13.6558,17.39672836,,,
44,261747205,2.264423186720127e-13,3644,2036.8698788661375,0.9981133915348936,0.7503989585691444,0.001463205129949463,0.5268474529871938,9.91520023,8139.0,1.72330999,30.0,0.221,0.2358,4.26200008,0.04090824605746709,0.9981767221254442,0.998362220110892,1.0048023719116643,20.46148046745101,10.559202048912187,1.98,365.523,11.7410545,0.386877,3,3,26.158466180167498,-81.7474803407416,4.932519999999999,11.5445,12.55409231,,,
45,166421485,0.08756933361291885,3665,2042.7750172009423,0.9835895756826132,7.5123383435980475,0.03808208899016918,2.572826360066258,9.0237999,6479.5,2.64738989,3.0,0.3237,0.2388,3.71301007,0.11826497641190604,0.9786808739927664,0.9996777869071644,37.01633572083856,120.8378793840624,22.260859919268132,1.32,275.395,11.130043,0.071141,2,4,298.245588095303,-52.3152987625935,-6.43179,-16.6592,17.8576837,-0.31,,
