rowid,TIC_ID,Probability,Unnamed: 0,Unnamed: 0.1,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde,Mass,distance,lum,rho,Camera,CCD,RA,DEC,PMRA,PMDEC,PMTOTAL,MH,Disposition,Comments
297,141866704,3.5865112295141444e-05,1123,1123,2175.510762819093,0.9997338307519492,1.4231160931037123,0.010161528909757855,3.8637694244593854,10.41320038,8723.0,1.6928599999999998,17.0,0.1887,0.2337,4.32126999,0.01546156234462458,0.9997484670564852,0.9997786539529612,0.4008347985000032,8.650416260681903,10.918565511768687,2.19,480.875,14.9485941,0.45142,4,3,93.8598485865545,-75.25321791727879,-7.8308,11.022,13.52057368,,,
298,50620220,0.0002174604160245508,1124,1124,2174.5840960382884,0.9405936182573921,0.7948990282872679,0.007520257591232982,2.0763940431534142,14.36419964,3888.0,0.903451,31.0,0.2946,0.3316,4.30440998,0.22425316576994506,0.948247428379065,0.9468119026199018,0.7909436923606489,72.84924217756466,8.339644453998835,0.6,345.38699999999994,0.168038443,0.81365,1,2,82.2123779919083,-2.4489681077864,1.19607,-1.37673,1.82372392,,,
299,264622222,5.196140773477964e-05,1128,1128,2174.3653869064456,0.9995418353615252,0.6297773088150009,0.003435119945797982,1.6535835262192715,10.82450008,7264.29003906,1.76912,38.0,0.2801,0.2331,4.15740013,0.01993959972494768,0.999478892566146,0.9996792536645139,1.8167049717257533,10.966658533085806,7.656170085042379,1.64,488.867,7.852025,0.296191,1,2,80.7774975409555,2.26067834014588,2.92464,-3.11528,4.27299527,-0.51759303,,
300,307783859,2.68433404926327e-06,1129,1129,2174.2498026507446,0.9968222495427488,1.1655295221795672,0.00962150027014086,3.0103052034190005,13.8725996,3235.0,0.219822,21.0,0.1533,0.4776,5.03034019,0.05255871452469592,0.9971623208699508,0.9968733288962248,0.3637024456442231,10.773168235959576,8.788212271040289,0.18898,49.5751,0.0047679770000000005,17.7911,4,4,128.00791758637502,-71.78317336246309,-49.9934,45.7228,67.74890762,,,
301,607409,0.012529084458947182,1131,1131,2178.3837040530025,0.9995737965501506,7.210078616321088,0.0473300732752584,2.126519138918931,9.3664999,4104.0,0.746211,4.0,0.3955,0.2618,4.4985199,0.018746171640698604,0.9997926897383241,0.9994602935912478,2.240617025242962,7.970823168955859,8.173817238557168,0.64,37.636,0.142313763,1.54027,2,1,72.01280501068409,-29.616361954082304,78.2772,-76.8153,109.67183027,,,
302,40340867,0.00044813839485868806,1132,1132,2178.0207237079844,0.9981245271759778,4.647802785682788,0.05658250158202183,6.472540492853173,12.28600025,3901.0,0.61829,5.0,0.2946,0.3316,4.63582993,0.03984532922809921,0.9983250038692628,0.998378737548462,0.1383497641528152,12.206804433698569,9.148778074293126,0.602761,115.068,0.0797596,2.55017,4,3,77.2829052540967,-68.2443868683359,0.46490600000000004,129.01,129.01083767,,,
303,149846643,2.3000886358204294e-05,1136,1136,2174.4337990542726,0.9951617721675916,0.8080978128113147,0.002196500913838828,1.1169501446694177,9.31649971,7833.0,2.63157,31.0,0.2396,0.2457,3.86715007,0.0652203133473224,0.9955892558705124,0.9956054700766742,0.1283695038458781,42.87394260912392,11.705450215001195,1.86,424.325,23.4875679,0.102063,2,4,62.5282238046373,-19.09726523902,19.8326,-17.4615,26.42415571,,,
304,436651384,1.6755782780819573e-05,1139,1139,2175.2759280334053,0.997009665166262,4.972609423385586,0.016471644202965763,0.8676610626400658,12.32460022,7013.0,1.6138,6.0,0.2961,0.2276,4.20988989,0.0508109773338567,0.9975858537062812,0.996830560969954,0.6379687478687857,8.01528619640619,8.310972379124179,1.54,686.9069999999998,5.67558527,0.366412,1,3,72.6567561698965,15.4662968082463,-1.88632,-3.8854300000000004,4.31911674,,,
305,388129392,1.1016257350782156e-11,1141,1141,2174.3046904907987,0.997715830615922,0.6412284496585975,0.0008097661087305141,0.4448972805820335,8.92800045,7973.0,1.72195,38.0,0.2273,0.2465,4.24933004,0.04491396432679297,0.9979200898159346,0.997804845938922,0.6362138047089076,23.14765828047565,12.796437146399784,1.92,236.278,10.795063,0.376042,4,2,63.567525730330104,-67.1106228957757,10.777999999999999,13.6558,17.39672836,,,
306,50587552,0.00151810422539711,1142,1142,2175.5465784169187,0.9988922575957152,3.816283845779101,0.02033269134486381,1.3093122584660195,8.82479954,8025.0,1.53016,6.0,0.2331,0.2353,4.35639,0.031276650313781934,0.9989565165790756,0.9990484836345316,0.36130381588697663,10.59754409061424,9.125001608609564,1.94,188.437,8.748857000000001,0.5414859999999999,1,2,82.145966914975,-4.20047272018202,5.74182,0.22044699999999998,5.74605028,,,
307,4200337,1.6533578673261218e-05,1143,1143,2174.6486652355684,0.7571505996744865,0.9673865565141108,0.004210197835329166,2.521957782327954,13.736100199999996,3818.0,1.15765,25.0,0.3809,0.2823,4.07433987,0.4478722554243216,0.7985395827182115,0.7586106476119188,6.939923108800801,186.6733092324696,18.075481901771475,0.58,341.082,0.256560981,0.373852,1,2,80.6870701364987,-1.04228621452822,1.7400900000000001,-0.711896,1.88008221,,,
308,255760319,0.2492904663085937,1145,1145,2174.450826999783,0.9997910711607966,3.600300174610712,0.03235235116531987,4.424973564258203,8.99440002,6136.0,2.05071,8.0,0.3507,0.2158,3.87872005,0.013303780815387118,0.9997846502858708,0.9998463626900692,1.186481983480898,10.121975862727352,11.33335175648036,1.16,196.472,5.37088966,0.134506,4,1,99.71458045757059,-53.1075236620701,5.40006,-17.3454,18.16655028,,FP,likely BEB; eclipse on a lower left neighbor
309,260269456,2.7837164452648718e-05,1148,1148,2175.8232657909025,0.6605407380661212,5.402190030630502,0.018536671125662263,3.311871412635142,11.33650017,6192.0,1.49873,4.0,0.3451,0.21600000000000005,4.16216993,0.5368329331115332,0.6972725358822888,0.641727639616833,5.2044105515110735,181.7093815271041,29.042751098398384,1.19,425.412,2.97486019,0.353488,4,1,94.2527119604138,-54.6341158274514,10.7152,3.62595,11.31207428,,,
310,294329266,2.1767373254988343e-06,1149,1149,2174.9312639093764,0.9907822032732604,0.7408146842318447,0.004597622416098235,2.035097793603473,12.23709965,3311.0,0.478292,32.0,0.1529,0.4604,4.756470200000001,0.0896698616299538,0.9915563035922792,0.9917689918078926,0.6992766542931265,46.95049090133569,9.52535984067829,0.476197,63.3746,0.0247695241,4.3521800000000015,4,1,109.04984127338301,-58.814440729663,2.35962,54.4402,54.49131291,,,
311,141122198,8.0004920164356e-06,1150,1150,2174.5406351576858,0.7810979693998389,1.3501242771897253,0.0058344874541812475,3.0060740693280237,11.00269985,9283.0,2.3031099999999998,18.0,0.1748,0.2433,4.08634996,0.44415184521702544,0.7507310160244619,0.8509533706530369,29.604204201525178,2018.7643056227685,18.558683081969953,2.36,928.239,35.48773,0.193182,4,3,80.1812229828454,-75.5254125656787,3.42233,1.58909,3.77326777,,,
312,188989177,0.8952182531356812,1152,1152,2174.4602494121427,0.9967869205013286,1.174040471737199,0.00361671803965935,1.3422580695694897,9.14140034,8242.0,3.6678699999999997,21.0,0.2039,0.271,3.61458993,0.053381392869817,0.9970908260895408,0.9970049790376042,0.8533756353403307,119.53998902918714,20.63986277850736,2.02,547.126,55.9309845,0.0409365,2,3,78.7784061991806,-15.1004557536212,-2.24268,-1.8005799999999998,2.87605666,,PC,secondary eclipse; two stars in the same pixel; depth is 3.6 ppt
313,33006416,6.124538776930423e-05,1153,1153,2177.011343999259,0.9923355999428526,2.8479988151910383,0.031553649067452394,7.7636783560109315,8.47980022,5802.0,1.33031,9.0,0.3662,0.214,4.20720005,0.0803459313726175,0.9935950743474704,0.9931619841269462,2.631640059569805,78.11235505777869,12.07097440570168,1.04,94.2034,1.80679619,0.441751,2,2,88.06661914457321,-28.656920732853397,0.335345,-31.3241,31.32589499,,,
314,245831942,0.0047609973698854455,1156,1156,2174.2618389994145,0.9962749301415283,0.6193624286779772,0.0033290184813295487,1.6418005385012764,10.83720016,6937.0,1.8328900000000001,39.0,0.3026,0.2256,4.09363985,0.05665043558586742,0.9965825371745468,0.9966597950493687,0.3210781915154202,28.02715866001423,8.050669198791496,1.52,331.25,7.0089869999999985,0.24685,1,4,68.1078147123105,15.5480067446592,4.265680000000001,-5.34008,6.834652900000001,,,
315,92880568,0.9888909459114076,1158,1158,2174.686465832684,0.9969114402577928,1.177626412373718,0.0030540738014436237,0.9016917858280142,10.96399975,5745.10009766,1.4276,21.0,0.3726,0.2129,4.14169979,0.05094475662295817,0.9971765693224868,0.9972706679416132,0.4260106190771344,38.18942381342185,17.13775999317199,1.03,297.121,2.0003,0.354015,2,2,83.21585628169491,-19.5750401764629,-6.93434,-7.5832,10.27569917,-0.22,PC,V shaped.
316,248990523,0.20876006782054898,1159,1159,2175.086762265816,0.9967400792740468,1.2345563362775196,0.008383043198066266,2.9381815768796105,9.75249958,8201.0,1.7036799999999999,20.0,0.221,0.2358,4.27849007,0.053774142001009634,0.9971904793233012,0.9967802517447696,1.6534362110932552,36.65029514817679,11.203524818298412,2.01,336.2680000000001,11.82871,0.406474,1,2,78.14642759162659,-5.1527661505578,0.465574,-0.27792100000000003,0.54221696,,,
317,55497265,8.099414117168635e-05,1161,1161,2174.3520571109907,0.9967377332687556,0.648970582068875,0.0035733140141674946,1.7361773279532424,11.78880024,6527.0,1.6461700000000001,38.0,0.3276,0.218,4.13221979,0.05279676296539377,0.9970267648290392,0.9971515932974048,0.4484345319962919,26.86866033667872,9.491178338066893,1.34,635.278,4.43098736,0.300385,4,2,71.685748665311,-60.5675410819264,-4.83844,8.54013,9.81551435,,,
318,121634562,0.07146751135587692,1162,1162,2174.3327160097892,0.9980418567622132,12.897095553903213,0.04419718562071395,1.6020153430436488,9.16615963,5516.0,1.16177,3.0,0.3862,0.2061,4.29414988,0.040482128296624516,0.9981420081569454,0.9982726380331188,0.5146117828129309,25.71885434402247,8.855715161282538,0.969,102.436,1.12572694,0.617962,2,4,70.0400782323153,-18.292433733107,20.4845,13.4864,24.52545056,,,
319,4351705,0.8024619817733765,1166,1166,2174.7457636545914,0.9957681791877604,1.2384462706908912,0.004532841350411321,1.3666105568703717,10.64260006,5927.35009766,1.74557,19.0,0.3599,0.215,3.98762012,0.05977042019003019,0.9965030712906092,0.9956665843907156,4.175178872585788,62.815548683927204,16.55740576480573,1.08,313.796,3.38852072,0.203055,1,2,81.4750163758546,-3.9622744062895094,21.5968,0.661486,21.60692792,-0.0105249,,
320,200322593,0.00041453610174357886,1167,1167,2174.2376203549484,0.9991384234334314,0.7255629775407955,0.004446515086393432,1.9442096269500329,11.50450039,3130.0,0.19711700000000001,34.0,0.1606,0.4974,5.06914997,0.02727689138574552,0.9991101110393836,0.9992947442040224,1.2061163122099072,14.81267981496766,10.238384865514464,0.166161,14.0022,0.00335985259,21.6949,3,3,76.3101195759751,-47.9376470443615,-66.0851,25.0774,70.68321182,,PC,
321,140691463,0.9986501932144164,1169,1169,2174.9579203250014,0.9879206008083112,2.08394426416982,0.007800281638942862,1.6962984208478988,12.01659966,5638.0,1.10646,13.0,0.3785,0.2075,4.35019016,0.10068582706431327,0.9896918144174004,0.989306569791712,0.8700497108809097,88.36052050473984,18.697150214250573,1.0,355.68300000000005,1.11447418,0.738223,4,3,73.70122089165771,-76.68052460126358,11.712,-18.9222,22.25355245,,KP,
322,412089835,2.46980959989207e-11,1170,1170,2174.326940970149,0.9988686525347916,0.7343251035295578,0.001609729697254425,1.0702797182926624,8.03971004,7504.0,3.68765,33.0,0.2458,0.2616,3.54260993,0.03145354744289513,0.998958429300404,0.9989335116930436,0.2805885919782254,26.51211675470344,7.761852119530268,1.73,272.286,38.8476524,0.0344983,1,3,79.9124381828558,15.7860114607706,-11.3288,-4.34887,12.13484156,,,
323,287842651,5.17251537530683e-05,1171,1171,2174.3052254161544,0.9999591418386647,0.9643983938955858,0.0055647028066171935,2.566564240175705,6.08360004,9039.50976563,1.63228,25.0,0.1796,0.2326,4.37040997,0.006068622964790943,0.9999588899271162,0.9999639842062864,0.4845409860235033,10.733271196639617,8.998863225173114,2.28,70.3225,16.0274563,0.524263,2,3,84.2865509875708,-11.7755146591714,20.1389,-23.2244,30.740007300000002,,,
324,169398679,0.04245905578136444,1172,1172,2177.471807783364,0.9993820077248428,4.884050869275387,0.0806677767523607,9.263402839456347,8.40900993,6765.0,3.0377,5.0,0.3011,0.2475,3.63404989,0.023032027030283803,0.9994731439547,0.999402022430948,1.567703476844038,34.48351051986119,9.933471526620913,1.449,257.726,17.4123211,0.051693100000000006,2,3,76.96674122047379,-17.2339486335465,-8.01025,-6.16475,10.107831,,,
325,300293429,0.013620023615658285,1176,1176,2175.0090372054487,0.9996236909631759,2.0179070653851316,0.023842649539782657,5.2600555328805045,9.70079994,6562.31005859,2.51237,13.0,0.3215,0.2192,3.77144003,0.0179508614899773,0.9996584452807676,0.999660636000278,0.04036290826974531,17.560047045858376,9.202059584791296,1.36,347.9430000000001,10.5460234,0.0857607,4,4,110.480998852146,-68.25859039967929,5.1495,-19.6285,20.29274162,-0.24302600000000002,,
326,287496345,5.676563751932755e-14,1180,1180,2174.657107060925,0.997137853929502,0.6452526591901573,0.0005455999189336036,0.4134321634731877,9.86880016,7242.0,1.88136,38.0,0.2801,0.2331,4.10130978,0.04983696075749112,0.9973539214923378,0.9973995337814884,0.1972085158302508,21.940110422839798,13.810175020321484,1.63,330.087,8.771460000000001,0.244778,4,4,123.948186560317,-73.3470661442211,-14.2645,10.1304,17.49574132,,,
327,454191600,1.1138435729307616e-09,1181,1181,2174.274777352638,0.9990234492555602,0.7339085137332859,0.0006441972932202943,0.4514393765850668,8.45353031,8422.0,1.7176200000000001,33.0,0.2093,0.2355,4.28773022,0.029497295426023862,0.9989769024016024,0.9990019046706744,0.14172352749225978,14.043328242841573,8.744811607188876,2.087,198.152,13.372438399999998,0.411851,1,2,78.990141387881,1.32756654847962,-0.30139,-4.52259,4.53262134,,,
328,399757184,9.594180028216216e-08,1182,1182,2174.3735420502962,0.9966381614669342,0.6425271062035354,0.0008103249098546095,0.397493728460082,11.0248003,7467.0,1.60473,38.0,0.2438,0.2464,4.26026011,0.054319182791969865,0.9968389490730544,0.9967939706590164,0.09359800642401726,17.126625667110353,15.013179558219411,1.71,505.171,7.21243668,0.4138020000000001,1,3,73.634991252542,8.39464541033836,8.897310000000001,-0.42931199999999997,8.90766154,,,
329,167251459,0.00027301831869408494,1184,1184,2175.094426166677,0.6468896112335015,3.2790289113076634,0.011912701195349484,2.4966335272565683,13.04160023,4752.0,1.00542,8.0,0.4642,0.1807,4.31418991,0.5365052967147773,0.6619904951581875,0.7356189725495559,6.256388432528466,286.8095761171664,27.984128628378826,0.76,374.439,0.464402258,0.7477779999999999,4,4,97.7653115128723,-70.1282585439402,-0.235069,-9.48767,9.49058162,,,
330,1221946,9.820385457715021e-05,1186,1186,2174.2965803245247,0.9988068169247156,0.9900752921063648,0.0009595545469389123,0.4638836728166379,9.584899900000002,7671.0,1.71268,25.0,0.2353,0.2551,4.22598982,0.03238622519418763,0.998914173392862,0.9987572260000256,0.5116029869097513,10.531050596132703,9.749440501634163,1.8,305.237,9.150667,0.3583,3,2,71.6443729701707,-32.435874494303896,-12.544,4.6428,13.37563187,,,
331,46528984,1.2938232299766759e-12,1188,1188,2174.3272758101252,0.998735882687426,0.6153605566301017,0.0010189356107659364,0.6394633186926937,8.11917019,7759.0,2.1162900000000002,40.0,0.2396,0.2457,4.05007982,0.03333752949145016,0.9988125141421528,0.9988654779847088,0.5566226311101613,23.491926664352913,9.666764442618577,1.833,192.473,14.6240435,0.193392,2,3,84.3950478468822,-12.6992322583137,-21.7627,9.899460000000001,23.90845916,,,
332,92881175,3.285743066516744e-10,1190,1190,2174.2883296158907,0.9989857222093856,0.8873768470450258,0.0008320748527889665,0.4568141895058345,8.50434971,7437.0,1.70537,28.0,0.2683,0.2357,4.20563984,0.029727484493857613,0.9989956063851818,0.9990967614165742,0.5545052292567195,13.082927962147211,7.587100490884267,1.703,177.273,8.015372,0.343366,2,2,83.2404720923983,-21.0185768546626,-6.5709,-19.0177,20.12087573,,,
333,1517807,2.620458715167361e-17,1191,1191,2174.5842850694735,0.9948504060379164,0.6852417783244823,0.0011748937813589322,0.5313701608429623,10.02610016,7984.0,3.24853,36.0,0.21600000000000005,0.27,3.69799995,0.06743212489993107,0.9951732297665116,0.995352401789687,0.35533184711889365,19.652287783555828,8.389365664122126,1.92,741.738,38.63229000000001,0.0560068,3,2,75.22318980145259,-33.407936593218395,-3.6356300000000004,-10.3809,10.99913134,,,
334,398871986,1.9132998137216806e-12,1195,1195,2174.2664851162112,0.9981109953479548,0.738471153010307,0.000651327406609392,0.4305123052228236,8.28851986,7374.0,1.73403,33.0,0.2683,0.2357,4.18475008,0.04056917881737365,0.9987029179854352,0.9977923385184568,4.412794587801655,18.750740718425547,15.068657818047221,1.6780000000000002,161.85299999999995,8.009778,0.321827,2,2,78.9052296951957,-21.1964796869677,-8.125160000000001,-11.7176,14.25904537,,,
335,34512862,1.7325791591312736e-16,1196,1196,2174.3026458281493,0.9677396211929676,0.6293224367655512,0.0010498773282639484,0.7036493916513386,9.64750004,7515.0,2.64298,40.0,0.2353,0.2551,3.83191991,0.1683997802561565,0.9703864222416276,0.9705548478330333,0.2143752156492658,31.135527927443288,12.410084136364185,1.73,445.865,20.0724316,0.0937049,2,3,83.0082988294347,-7.25684998228198,-15.6309,-23.1039,27.89471688,,,
336,55652035,1.074430128200632e-10,1198,1198,2174.3684252127678,0.9976726174345718,0.6134729647268752,0.001017251732119584,0.8466295121014618,10.13360023,6919.33984375,2.50818,40.0,0.3026,0.2256,3.81833005,0.04477854016753155,0.9977175486312074,0.9980382868660536,1.468455879690992,23.246443162629472,9.014845599300598,1.51,489.642,12.991888,0.0956971,4,2,73.9974048188325,-61.0947049044289,5.5513900000000005,11.8036,13.04388377,-0.37416101,,
337,260891473,0.3711298704147339,1200,1200,2174.5236336047783,0.9965535675482524,2.285482801455377,0.008816767927356306,1.6690761180992284,13.55529976,5440.0,0.850881,11.0,0.3947,0.2049,4.55604982,0.053621834675363855,0.9968966172651578,0.9969382950860168,0.0388999394541618,7.967305355743227,10.619615377429355,0.95,516.08,0.5712524999999999,1.5421200000000002,4,3,72.4040912164629,-78.5176006958779,34.1452,59.9331,68.97732351,,,
338,450096611,3.0291280381788965e-06,1206,1206,2174.4402586133638,0.92615953363679,0.7546422148093382,0.0026726231661443056,1.7733473274202924,9.75008011,5413.0,1.43921,33.0,0.3943,0.2089,4.09587002,0.2481219233165953,0.9339378954836682,0.9335370196853432,0.2959815169156233,55.868362473982216,13.485482920996981,0.942,158.237,1.60212243,0.315993,1,3,72.79257822915109,7.715684950781009,-34.4462,-74.3727,81.96242554,,,
339,358457606,0.11914698034524918,1208,1208,2174.255178599455,0.996961807687808,0.9472801757501412,0.009058570889863836,2.507531641699575,8.12870026,6562.0,1.75363,27.0,0.3215,0.2192,4.08373022,0.051005921979021686,0.9972932990494422,0.9973393234069152,0.7489975108936954,89.12595743249662,8.167226067515582,1.36,125.05,5.137097,0.252186,4,3,60.364005690252704,-78.5486354545853,9.64855,38.4395,39.6319275,,,
340,139724460,0.00011499912943691015,1210,1210,2174.4317159682664,0.8431825155144592,0.6014626281264152,-6.1444487752590735,1.6196957736678126,10.22780037,6751.0,2.34775,40.0,0.3096,0.2225,3.85512996,0.3671765311630917,0.8610252111962466,0.8611694640901999,0.3393170806179828,142.30993198345703,18.037178923920667,1.44,465.792,10.31503,0.111278,2,1,66.816181981922,-21.5834884520971,12.4641,-8.9209,15.32763014,,,
341,423477373,3.83999285986647e-05,1211,1211,2174.25279001644,0.9991692004149229,10.826536688061907,0.0232972384501533,0.9041932028729972,8.84438992,5664.39990234,1.6646299999999998,3.0,0.3726,0.2129,3.99802995,0.02642223945845944,0.9991756491243454,0.9994316931744046,0.8963089744211408,10.460453668087943,8.276481493984772,1.006,125.96,2.570079,0.218094,2,4,71.0819364671758,-18.813190897079398,-72.4907,-67.2549,98.88439291,-0.5,,
342,25117240,0.0545550100505352,1213,1213,2174.489465217153,0.9983738465453156,2.168956803640508,0.03007226721276557,5.843553130042638,9.01900005,6743.0,2.87165,12.0,0.3089,0.2445,3.68017006,0.03731552090871426,0.998640384324891,0.9984883266139476,2.021931903353651,43.54308819379716,7.92544406545996,1.44,312.041,15.3593025,0.06080880000000001,4,3,61.6568431222187,-69.2615574384974,16.8213,1.9104,16.92943478,,,
343,50524247,0.008494811132550241,1215,1215,2174.823367358545,0.9980367304952468,0.6212144024627656,0.004663383642043439,1.6669512382525564,10.39220047,6624.0,1.8823599999999998,38.0,0.3215,0.2192,4.03168011,0.04100180089849945,0.9982789967039606,0.9982500537378698,0.2977216203676874,53.09849182326321,8.565532390491589,1.39,371.51,6.14584064,0.208404,1,2,81.8524830983337,-1.46173295773513,1.18998,-1.32387,1.78007982,,,
344,67772871,0.2347032129764557,1216,1216,2174.3231984655067,0.9999213326028752,6.433478181121849,0.02903007698492255,0.5837573832975114,3.65459991,5092.0,0.845248,4.0,0.4244,0.1961,4.51351976,0.008060240065620406,0.9998337833659612,0.9999453829931492,4.453584470011652,11.89790297124738,8.773011532832971,0.85,5.03545,0.432729572,1.40756,1,1,63.81800002674371,-7.652871393789231,-2240.52,-3421.43,4089.75709735,-0.19,,
345,231975525,0.056371737271547324,1219,1219,2175.3341672160336,0.998273275989635,1.164988943875099,0.0011993525908992053,0.5135290710173547,10.81379986,7599.0,1.76338,20.0,0.2353,0.2551,4.19334984,0.038959937645116335,0.998400782407381,0.9980715511593572,0.8786594830856604,12.039600255950885,8.223942245508095,1.77,534.163,9.341458,0.322799,3,4,95.6306428954999,-44.6911712426194,-0.588515,6.921539999999999,6.94651466,,,
346,141123013,0.9815338850021362,1220,1220,2178.912725358152,0.999641416086,7.057892466876665,0.06591046973824177,3.7674736157081385,9.19909954,6596.0,3.9582599999999997,3.0,0.3176,0.2406,3.38294005,0.01749978900882056,0.9996506788416252,0.9995253057919516,1.0687480173946808,9.804967026585963,9.862346461350116,1.38,423.131,26.7193928,0.0222518,4,3,80.2750372643564,-74.50170973864009,6.5827100000000005,1.38937,6.72773513,,,
347,201427173,2.6958810295241165e-08,1224,1224,2174.505100377493,0.9996355031253902,0.6197766541231499,0.0007706384178804981,0.4366404746989567,8.97659969,7851.0,1.68603,40.0,0.2448,0.2339,4.25617981,0.01790376012126466,0.999617195571675,0.9996566388468276,0.3686543762355342,9.56007603521863,15.196485844212868,1.87,232.3,9.730275,0.390163,3,1,92.3791446657888,-35.1309791081465,-13.5496,4.36498,14.23533317,,,
