rowid,TIC_ID,Probability,rowid_0,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde,Mass,distance,lum,rho,Camera,CCD,RA,DEC,PMRA,PMDEC,PMTOTAL,MH,Disposition,Comments
220,156464601,0.002109430730342865,4116,1683.8081224570608,0.999162494902598,13.424931343052087,inf,10.774676402060392,11.04240036,3386.0,0.34883401,2.0,0.1555,0.4459,4.87509012,0.02705279707099865,0.999284663435726,0.9991443706990925,0.4430427319924797,7.664330479265453,10.33829824808015,0.33286,25.1356,0.0144105358,7.84161,3,4,217.866689354449,72.7556831666245,-270.52299999999997,-103.62700000000001,289.69164409,,,
221,282546537,1.2486816558521241e-05,4119,1689.4332035096024,0.9983820577250068,6.407253737460781,0.11120680224382527,8.018139240644485,10.96889973,5003.0,1.00580001,3.0,0.4244,0.1961,4.35211992,0.0365537635244752,0.9979508296120984,0.9997308959523012,8.348396200927308,16.717384083639836,7.834193600365594,0.83,164.50400000000005,0.57100904,0.815715,1,4,311.67431891798,24.5809859379927,6.06075,-21.9247,22.74698135,,,
222,102925915,0.00013256286911200732,4121,1693.5758805661926,0.98544617828015,13.425253055396967,inf,22.096898258350723,10.3465004,4698.0,0.71478301,2.0,0.4776,0.1729,4.6047802,0.10870814446407756,0.9845109483996848,0.9906632612276424,30.02653448093492,75.72837683909894,13.915538862497456,0.75,78.7894,0.22423096,2.0537,4,3,130.908772807459,66.3222452085192,-40.6106,-80.8779,90.50113558,,,
223,102928809,0.14407557249069214,4134,1683.3517874279282,0.9895682003796392,1.587322511929956,0.01912085075747505,4.3349161485860686,7.34061003,6281.12011719,2.48855996,17.0,0.3374,0.2348,3.73536992,0.09407623928449828,0.9908281304468732,0.9907996877989014,0.3896571468736379,68.24442716383993,7.043199050028561,1.228,117.075,8.684366,0.07968120000000001,4,3,131.961589206728,66.2106059088937,-49.7921,-90.4393,103.24010949,,,
224,436168322,6.501669759018114e-06,4144,1684.8064853590015,0.4726459590991429,1.5513491933402932,0.005904803351233556,3.3040767216131237,9.58969975,8438.0,2.76700997,13.0,0.2042,0.2456,3.87419009,0.6854724286524321,0.44582974340960496,0.4411931187557504,0.5467617998972095,469.8570976266087,21.299361834649588,2.09,533.53,34.9683456,0.0986536,1,4,306.390154371204,27.3691939777537,-5.97575,-8.60245,10.47433693,,,
225,275489982,0.09110444784164427,4152,1685.5110908250601,0.994201437786181,6.8878502354982345,0.0492105177125981,1.806500528077732,11.71730042,6388.43017578,1.50996995,4.0,0.3332,0.2167,4.18665981,0.07032147963921427,0.9999941944362036,0.9891301344540002,15.753011035132205,23.888250479744077,11.671100983465555,1.278,539.053,3.42145467,0.371212,2,4,293.09290353483897,45.6918269341976,-13.5366,-9.73945,16.67622337,0.019,,
226,198185267,0.00029196596005931497,4157,1683.389597022075,0.9889245828804858,0.7488436547951682,0.003392467278619637,1.924320064201816,13.92580032,3182.0,0.24720799999999998,32.0,0.1533,0.4776,4.99008989,0.09812165969852783,0.9892310543982796,0.9901598280373628,1.0044065682377772,26.25379767350986,10.556776739997982,0.217845,55.9393,0.0056444346,14.4198,3,1,245.621970413788,62.5695401769182,-76.3255,41.7616,87.00352398,,,
227,198238666,0.00820356048643589,4160,1683.61725182444,0.9998541885121152,4.50177883377954,0.10095972674162867,7.189327632989862,8.98740005,6168.0,1.78623998,5.0,0.3451,0.21600000000000005,4.00460005,0.011126054683997338,0.999832168758841,0.999882689766355,0.8964001757701072,7.309146202153282,7.1747753192861925,1.176,175.236,4.16054,0.206344,3,1,249.26231446546902,64.1276719029038,-11.6108,-11.9151,16.63671496,,,
228,289726188,2.6244402761221867e-05,4162,1684.1634951423637,0.9938181126418903,11.566485241248133,inf,17.682969311355606,9.249170300000001,3529.0,0.52964503,2.0,0.1959,0.4178,4.71155977,0.07312827558878046,0.9943050994684536,0.9989049291573768,13.548052826822117,36.674050138830644,12.011854478995993,0.526578,19.8374,0.03919865,3.5441199999999995,2,2,274.354689896311,48.3673142571432,-45.6297,48.4421,66.54852797,,,
229,28397861,1.4268525028171551e-08,4166,1683.6676530445857,0.9972759501626784,1.3100166363581178,0.0020198199080561086,0.3637285892331808,8.29475021,7068.0,2.10883999,14.0,0.2961,0.2276,3.98422003,0.04849591557937826,0.9972853552761504,0.9968412734865506,1.4802465781400906,15.649060421133086,7.114938784403553,1.564,185.846,9.999268,0.166765,1,2,281.78256309156,32.2751731500357,18.0025,-8.74766,20.0152832,,,
230,229539384,0.4905218183994293,4177,1684.6284499063102,0.9989500545027598,12.483137280089268,0.4006735661718563,13.470136391293964,11.14340019,4812.0,0.72203302,3.0,0.4642,0.1807,4.61249018,0.02925513753301095,0.9989437885172784,0.9996385603243304,1.6196264242298684,13.082465182390006,8.68448034133644,0.779,120.241,0.251832455,2.0695,3,4,222.195809209475,74.0608440328371,-48.5733,43.1036,64.94063293,,,
231,63284581,0.0001454635203117505,4180,1694.6685206415827,0.9995978425473979,12.98554997219732,inf,22.096777825006622,10.41079998,6139.0,1.07660997,2.0,0.3276,0.2297,4.439529900000001,0.018516099237349898,0.9996779269977906,0.9996152139824253,0.5274211885637213,8.947748252697147,7.970339587095853,1.163,198.871,1.4832108,0.931973,2,4,292.46828849263403,43.4863835977611,8.6135,1.22243,8.69981134,,,
232,336209730,3.754100907826796e-05,4182,1683.737149135531,0.9993292362977848,0.6540169466048388,0.002396900789703227,1.7973442966515436,9.59980965,5963.0,1.13364995,40.0,0.3345,0.2282,4.36773014,0.023884349895775973,0.9994054937687024,0.9993818780671252,0.43432431082882617,27.798295932933375,11.312197813778427,1.093,139.308,1.46390641,0.750207,2,3,281.39638237872396,38.7171773800206,6.75173,-23.9528,24.88619067,,,
233,441722462,4.464711673790589e-05,4193,1686.4381918303836,0.9965772376039468,6.949722029128827,0.1622694538278564,14.705349669760293,11.43080044,5778.0,0.94910401,4.0,0.3495,0.2247,4.4987998,0.05381289924526382,0.99717993319448,0.9968193893304348,2.164099510853887,40.76211520973838,8.143164738506702,1.036,255.821,0.9045506,1.21176,3,3,255.511964203297,72.5287029373598,8.98325,-11.877,14.89167249,,,
234,271773721,0.0062501789070665845,4201,1684.4014481306644,0.9523024735479454,5.259600647640371,0.11631733933081635,9.722595573005751,12.03530025,6195.64013672,3.14362001,5.0,0.3425,0.2339,3.51875997,0.20097922846882071,0.9623086413475992,0.951949428869768,2.6297329179801943,102.54818335717111,10.483432290769484,1.19,1210.09,13.1189394,0.0383052,2,4,295.628940415083,46.051357187741296,2.8704099999999997,1.7841599999999997,3.37971603,-0.173198,,
235,406672232,9.698880153868885e-13,4202,1683.6615432998394,0.9993519981640699,8.296399344536923,0.18971069053799366,10.550220571668577,8.53250027,5098.0,0.81822902,3.0,0.4244,0.1961,4.54682016,0.023133359379967827,0.9995769603356692,0.9991489186556206,7.653407139210504,26.49935271020569,8.076136635986488,0.86,46.5539,0.407421678,1.5699,1,4,309.353389046438,22.654614894926,54.071999999999996,-57.8447,79.18200870000001,,PC,"Shallow transit, possibly stellar variability"
236,159415009,0.053261101245880134,4207,1687.8844743126874,0.9997279317241652,11.383732349697851,0.2404321580620428,22.096771049521546,9.27684021,5851.0,1.20858002,2.0,0.3454,0.2253,4.29759979,0.015183148045981625,0.9997704019653256,0.9997441119688716,0.4658802127313398,12.047513244472563,9.707078179826214,1.057,122.916,1.542278,0.598761,3,3,238.72200373873198,80.94005126405959,-35.2303,16.2801,38.80999477,,,
237,229674567,0.00010281541472068055,4221,1690.9100396921033,0.9992416183934936,13.07191485647349,inf,22.096701342030467,10.48569965,4939.0,0.80607599,2.0,0.4508,0.1887,4.53487015,0.02491126309344371,0.9994010225513896,0.9992932705239492,1.0228670508670952,16.68215012023635,8.279371531309176,0.812,104.835,0.34833964700000003,1.55034,3,3,252.953868900018,73.75594904955,-25.2881,89.7533,93.24774991,,,
238,280070817,0.00025551122962497175,4222,1686.8043556470386,0.9977428312457436,13.425233585691096,inf,22.096805464636144,11.19330025,4629.0,0.70243198,2.0,0.4913,0.1645,4.61055994,0.04272745847721138,0.9974411661534436,0.998716035960042,8.237329020132004,29.984578628885608,9.112771884536096,0.7340000000000001,100.418,0.20410423,2.1177900000000003,3,2,297.870273399971,69.9949393001509,-6.40486,-37.8903,38.427816299999996,,,
239,68673249,8.937333539904557e-09,4224,1683.5535588314792,0.9993231065442642,0.681962241094217,0.0005635094980650512,0.275974066509727,9.17251015,7678.0,1.65798998,24.0,0.2559,0.2329,4.25417995,0.024349121058498912,0.9993267600510318,0.9992458345728672,0.4580365352230477,9.59506835237003,13.167486661780634,1.8,243.812,8.606976,0.394937,1,2,281.281954686757,34.615531903738606,15.6167,5.42344,16.53163695,,,
240,233293181,4.967660061083734e-05,4230,1684.9995184324814,0.99950449469465,6.1043523631808565,0.1524112015328778,11.76435744733463,9.71115971,6452.0,1.28295004,5.0,0.3079,0.2295,4.33859015,0.02063242269458356,0.9995848374757278,0.9995161331873326,0.908718344947294,16.201367909545347,7.688048840203358,1.3090000000000002,185.939,2.56974149,0.619889,2,1,300.433821143893,59.170296838435405,7.289680000000001,-26.6595,27.638168800000003,,,
241,120310701,2.0280173096409726e-09,4233,1683.371513449109,0.9981569261633492,0.6049344929851348,0.0007208045716496914,0.2733685449988548,8.09912014,7567.0,2.08016992,28.0,0.2353,0.2551,4.04615021,0.0402511373268882,0.9977984926647816,0.9980802150601664,0.7148888289874881,14.171552960440636,9.127129867447424,1.755,183.618,12.7817,0.194975,1,2,284.610389637755,36.425883766770795,5.96704,27.1758,27.82318587,,,
242,310993320,0.015791039913892746,4239,1683.8063913901597,0.9995832289694068,2.3680488548841523,0.025165252633502225,6.141105473863245,9.06229973,6610.0,1.26215005,12.0,0.3014,0.231,4.37634993,0.01894343553077054,0.9995745090144328,0.9996793477444156,2.1187496372934675,20.993456032899264,8.338714360106705,1.382,142.388,2.7398355,0.687341,4,2,152.535937031155,78.74787195541741,-47.3794,-28.5317,55.30701085,,,
243,157332692,7.438600732712074e-06,4241,1684.1435544151605,0.9998983129316896,8.094496177356445,0.1522077403328792,10.257871074485864,8.11190033,6348.0,1.88029003,4.0,0.3383,0.2164,3.98965001,0.009303367292375752,0.9999329665878692,0.9998779690154448,1.639433288248478,7.41361091897284,7.586161700659341,1.259,129.667,5.17237425,0.189389,4,4,182.07907556010503,63.8865952273209,-3.7027,36.0112,36.20105679,,,
244,289539946,0.00018889713101088998,4243,1691.1978917203664,0.9977943418380096,12.72206770259867,inf,22.722271475259706,9.6608696,6225.0,1.52859998,2.0,0.3451,0.21600000000000005,4.14939022,0.043272742663147575,0.997327272857152,0.998863169055962,20.79007556882696,36.61226143905403,7.100975982729458,1.202,207.234,3.16110444,0.33653,3,1,251.55340326233102,64.3026236254723,6.33994,2.59196,6.84931353,,,
245,1884231689,0.0341508574783802,4258,1689.1822401887785,0.9984945697653956,6.987298090923349,0.11286810545076476,8.300816987881827,10.84560013,5139.0,0.81015599,4.0,0.4244,0.1961,4.55894995,0.03525988597894365,0.9995150788593228,0.9975841800731372,6.426340194643853,12.521483089332301,7.571602580058276,0.867,133.58100000000002,0.4124264,1.63047,2,1,291.270157716814,63.588619402999896,61.4257,-46.5194,77.05304145,,,
246,154067797,7.774893902023905e-07,4273,1683.907208582983,0.952016788761168,0.7097491000069878,0.001188654580417836,0.9611381527259728,9.11240959,5930.0,1.41969001,37.0,0.3599,0.215,4.1679101,0.20126456947963284,0.9572794481153952,0.9571734093961606,0.1037786090970268,53.71477995686016,32.01847297516704,1.082,138.763,2.245433,0.378135,4,1,207.48431883466998,66.4744489875379,-82.3362,64.4827,104.58139619,,,
247,224605072,0.00020212672825437042,4281,1683.9111295447308,0.841312920630513,0.6647910073357562,0.0029973427204537106,1.8422679451969999,11.42710018,6923.0,2.18672991,38.0,0.3026,0.2256,3.93744993,0.369748845090996,0.8580684469819153,0.8575976705549457,0.537413020605268,141.942238668151,15.613193224874435,1.51,780.7660000000002,9.896086,0.14440799999999998,3,1,255.599173781734,58.86997995179401,2.9679900000000004,-11.4674,11.84526181,,,
248,153974380,8.105799497570844e-05,4301,1692.1261206919635,0.9981589264350716,13.145633266324001,inf,24.111268588045267,10.67570019,5147.0,0.79741299,2.0,0.4244,0.1961,4.57422018,0.03899295582020015,0.9974790232213446,0.9993909719467762,14.995000064910245,29.161636913171435,10.180151835420745,0.87,123.317,0.4020479320000001,1.7158099999999998,4,1,202.540216428717,66.1715475446025,7.62856,-10.6326,13.08614192,,,
249,233060572,1.6645770138880103e-27,4306,1684.7039443731644,0.9918375536116382,12.928345539079087,inf,22.0966455473356,13.36830044,3149.0,0.32153499,2.0,0.1606,0.4974,4.90264988,0.083957230894325,0.9877800291814748,0.9976719463535528,11.997906985067782,9.51243318970577,8.778204691307067,0.301325,57.9312,0.009158869,9.06464,3,1,269.845340557534,61.891041942408506,17.7427,28.366999999999997,33.45878199,,,
250,219792132,0.0014185444451868534,4309,1692.171119087124,0.9930611504820692,9.31890315893365,0.23230083631452114,24.30631460862958,10.83780003,5889.0,1.04648995,2.0,0.3454,0.2253,4.42797995,0.07667726419242475,0.9948489430673534,0.9929014227888558,12.54613527633206,65.13179696948716,10.443452553224912,1.07,221.716,1.18668032,0.93363,3,1,265.1042995107,65.0809620936225,-8.79433,22.6649,24.31127171,,,
251,109842910,0.004351595416665077,4324,1685.2594564800775,0.9980542857609588,10.464112974851792,0.28069898157890805,12.900805530312327,11.4659996,3519.0,0.48157001,2.0,0.1604,0.4325,4.75358009,0.041248391681732194,0.9991972205377994,0.9971690102189088,5.963235159049297,15.420580494907153,8.291086919974921,0.479548,48.2903,0.0320398621,4.29392,1,2,291.00892502436,29.863268345697698,105.238,80.1976,132.31285535,,,
252,243489735,0.009094380773603916,4328,1683.4576251794342,0.9953396968902682,1.0750481721641778,0.010848535721245556,2.3262850243253634,8.72758007,9640.0,2.10667992,20.0,0.1687,0.2447,4.18128014,0.06487045580516049,0.9958133865157344,0.9955683853143714,2.965455692965339,61.98551139126569,8.292265041282224,2.457,322.704,34.53015,0.262792,1,4,309.620289174099,20.899209540260998,-0.543396,5.26346,5.29143557,,,
253,229500962,0.0004430533444974572,4330,1688.8199139986518,0.9982352905603444,13.365465648940148,inf,22.096805869970783,10.52429962,6175.0,1.14822996,2.0,0.3216,0.2301,4.38989019,0.0388311212909658,0.9982229378509252,0.9986545494862784,3.3509969888135003,29.944826995725307,7.805450559132893,1.18,224.734,1.72702944,0.779464,2,1,296.797226749934,64.18740795700771,18.8986,32.8454,37.89429222,,,
254,425711340,0.0008195295813493432,4345,1685.0284604053988,0.999810037839417,9.913523543028703,0.2842013710206501,9.668813619629427,8.36532974,5972.0,1.92638004,3.0,0.354,0.2157,3.90840006,0.012677440039741054,0.9998150474479006,0.99970898784898,0.7761165093735131,8.18638621326607,7.091889680070058,1.096,134.916,4.252612999999998,0.153316,1,2,282.061218291825,32.968344253126,-35.4609,4.63848,35.76298261,,,
255,237206223,0.1284109205007553,4353,1683.4233489290286,0.9998698364588241,0.7660979823516222,0.005929254315959921,2.105521062602281,8.47089958,8887.0,4.17791986,33.0,0.1821,0.2687,3.54639006,0.0107904335860193,0.9998802035215532,0.9998787855323256,0.04765095986241925,11.204970959365085,7.806693615508817,2.24,498.106,98.0927,0.0307161,3,2,293.52690935237,74.2989833040038,0.45184799999999997,-7.51072,7.5242994,,,
256,288346549,0.01167377270758152,4358,1684.08587191084,0.9997600551259592,7.7826391079460935,0.10845834459840333,12.153236779092918,8.69898987,6608.0,1.97484004,4.0,0.3215,0.2192,3.98720002,0.014334043241221638,0.9998405474744352,0.9997115775160292,3.101772903256435,14.654365372848153,7.466252642080632,1.381,185.61,6.69941854,0.179308,3,3,264.59835606639,80.65019914221409,-0.22339499999999998,43.8351,43.83566924,,,
257,110428269,0.0062143905088305465,4373,1683.5717676974466,0.9992141164896824,0.6493874384516691,0.0036293998254653963,1.3803561058521947,8.90600967,9994.0,2.58571005,25.0,0.1621,0.2508,4.02097988,0.02665651278603732,0.9992204302232056,0.9992759835998698,0.7646080653462838,30.071968635851192,11.97775848879199,2.559,395.12,60.09126,0.148024,1,3,291.463077033113,25.1894565436453,1.4666,-4.5869800000000005,4.81573474,,FP,Possibly EB
258,264299558,0.0004246369935572147,4393,1686.8044010896137,0.9905981581477644,13.425215612815226,inf,22.09679601526021,9.6324501,6220.0,1.04556,2.0,0.3216,0.2301,4.47818995,0.08962925733622247,0.991088442471205,0.9923721245428112,3.041229670054792,48.00674553838913,9.057467433445336,1.199,136.934,1.47418678,1.0490000000000002,3,2,295.833695735952,69.4914415782179,16.3664,31.2996,35.3203059,,,
259,157888494,6.5853951127792234e-06,4401,1683.7831327759154,0.9996263997485666,0.6697154920624728,0.0022002349263033905,1.2153160745215184,10.27980042,5281.0,0.88101101,38.0,0.4036,0.2028,4.50522995,0.017626992817138358,0.9995982722566256,0.9996120586242184,0.12817529243541886,9.785504538188892,7.111546674923433,0.906,119.37,0.543903351,1.3249,2,3,280.641814253672,37.1265995572452,-30.795,-21.0299,37.29059827,,,
260,159313969,0.011558807455003263,4406,1683.527673671219,0.9989552691667972,10.07554942574245,0.2860820047140873,16.204301303230537,9.15281963,6302.0,1.21449006,3.0,0.3174,0.2305,4.36164999,0.029900890202040464,0.9992070353552196,0.9987757737059187,7.675834377275785,42.87593157796639,7.542157813288593,1.237,133.113,2.09604049,0.69053,3,3,230.904050569646,81.335285717723,-20.4469,9.586789999999999,22.58278685,,,
261,236866556,1.3567072528530845e-05,4412,1683.4801915306036,0.9997320511305204,6.706713534958682,0.12541819125652864,3.2003346587907116,7.90840006,4992.0,0.69908899,3.0,0.4508,0.1887,4.66807985,0.014807366210117962,0.9994744618586546,0.9997899684441468,4.23105617900697,11.617796129461412,8.507242786941237,0.83,28.5852,0.273437738,2.42929,2,1,302.497890294641,61.47418225276729,-139.488,192.97400000000002,238.10893898,,,
262,40219040,0.1876501888036728,4415,1683.4162962606076,0.8543202632135048,1.0495961562044591,0.005006638107980299,2.1349472186847107,8.91240025,9967.0,4.26660013,19.0,0.1605,0.2868,3.58443999,0.3618319768207658,0.8550348948210609,0.8549860935233029,0.040437790896929934,84.55392442205145,15.665937361174539,2.55,657.7130000000002,161.85148600000005,0.0328317,1,1,300.4302298891,36.7910371592276,0.198511,-3.8647,3.86979492,,,
263,21030361,0.00017268605006393045,4420,1683.4447139313227,0.9987321262922976,0.6151147201824121,0.0017057722064688365,1.0323258104074973,8.493200300000002,7238.0,1.75100005,31.0,0.2801,0.2331,4.16288996,0.033169860902869414,0.998512067458942,0.998982913590201,2.7178073111521424,17.64005322465623,7.094452891398992,1.6269999999999998,174.312,7.58121634,0.303063,2,2,273.211586951966,49.6266899848096,-5.94864,18.2856,19.22887114,,,
264,355979658,1.392713875247864e-05,4421,1683.7810828305333,0.9978663875164444,1.5263254416203915,0.0016497008117530856,0.5877545511769057,8.93202019,7736.0,1.62960005,18.0,0.2448,0.2339,4.27493,0.04331667552163882,0.99809290469777,0.9980406891146468,0.20239508159236247,18.621966468371948,11.197210197160377,1.824,209.58,8.568810000000001,0.421488,4,2,190.04416787022097,79.28043838537359,-21.823,3.93099,22.17421952,,,
265,273042650,0.4948932230472565,4424,1688.3332318122666,0.9975890694394952,6.1463561447458686,0.031707250775343976,1.2338660811294928,10.47579956,8947.0,1.89252996,4.0,0.1791,0.2436,4.23809004,0.04657375038888705,0.9980071394747806,0.997590942264464,1.1915411901714783,18.64541033640727,14.379130622095964,2.26,568.7,20.677206,0.333409,2,4,297.181742759111,45.988459537687994,1.27499,3.6042400000000003,3.82310678,,,
266,219101992,2.017008338128789e-09,4425,1683.9904510553934,0.9995585403700732,5.2940649456656965,0.12466455794398355,12.940704212964453,10.35830021,5245.0,0.92164999,5.0,0.4136,0.1999,4.46123981,0.019128227804578214,0.9996008625912528,0.9996377200319359,0.4672632433026762,13.194251981469169,7.108769079677389,0.8959999999999999,126.609,0.5791729999999999,1.14449,3,2,270.256414942569,67.55378400969461,-9.40075,-11.1831,14.60944305,,,
267,219886098,1.8436287064105272e-05,4427,1692.7191842393302,0.9979849634697896,13.424972544209812,inf,22.096669409713407,11.78100014,4018.0,0.7024020000000001,2.0,0.33899999999999997,0.2994,4.54286003,0.04107051350347505,0.9982153822143284,0.9981953225900564,0.08517985536337835,21.327048665082614,14.130823246672824,0.628,101.341,0.115852527,1.81219,3,1,262.270070411839,68.4094090529076,6.114330000000001,47.2791,47.67282589,,,
268,219792161,0.014783103950321674,4433,1691.2305321464862,0.9912271603963276,8.839018269558823,0.08490138908943035,17.824629842559908,7.54559994,5011.0,0.78045499,3.0,0.4244,0.1961,4.57245016,0.08511785703771461,0.988495123877505,1.0003698312289837,157.21991892835774,45.116335033571865,12.31163183059318,0.83,27.2796,0.3460095,1.74596,3,1,264.98205969597,65.001636184414,-21.8522,106.85,109.0616392,0.06,,
269,458481708,2.2031002022693255e-11,4437,1683.784117855852,0.9993135545731928,0.6631615907109965,0.0005428898738242258,0.449581925803658,8.42510986,7749.0,1.70560002,38.0,0.2396,0.2457,4.23651981,0.02456646857999252,0.9992695309564321,0.9993477961447932,0.5041738888235017,11.914416741347384,9.109562460885096,1.829,182.05900000000003,9.45005,0.36862,3,4,233.388039623999,65.2068020868345,-21.8691,5.12284,22.46110025,,,
270,138579249,1.2882250302936882e-05,4449,1683.6272632845223,0.9934476467108172,0.9406905211897059,0.003840064249558573,1.5986716206472038,13.829500199999998,3055.0,0.186684,22.0,0.1606,0.4974,5.0891099,0.0752222964868925,0.9932102739915188,0.9943204952366518,0.8979714931812198,12.912604902993147,10.131044460513776,0.156047,37.0036,0.00273497752,23.9847,4,4,175.782485525392,62.3434754803168,65.391,18.8419,68.05145169,,,
271,256321662,0.0001523428800283,4459,1684.1922190643634,0.9996328095340664,12.402182191948938,0.2549422294951098,11.067772099987886,10.01760006,6113.0,1.37918997,3.0,0.3507,0.2158,4.22027016,0.017636872834338662,0.9997039247232444,0.9982058144103604,4.5519194950088036,7.154115855584855,7.858626578210727,1.152,203.898,2.39310241,0.439116,2,1,297.836654054849,65.93276434387201,36.9429,-28.8706,46.88591905,,,
272,164415700,0.00012875095126219094,4463,1683.44954547397,0.996713292618472,0.9625810290480392,0.004461074307897939,2.2226627382632733,11.86520004,6456.22998047,2.06761003,27.0,0.3276,0.218,3.92440009,0.052994168552802964,0.9970168772766316,0.9970275282613452,0.05099652039805511,33.744879065041125,10.579635524856519,1.31,799.42,6.69186735,0.148206,2,3,283.087017276079,45.390364924898,1.86949,13.0485,13.18174287,0.04108730000000001,,
273,359675242,0.0007868219399824739,4466,1683.530797658811,0.9993763707936534,0.6215791039943258,0.002489895064874015,1.3342313176792078,8.36516953,8580.0,1.87847996,33.0,0.1911,0.2468,4.22106981,0.023627358673395625,0.9994277889651052,0.9994075584845292,0.39002434608900105,25.829761941646318,11.334892999768753,2.141,217.768,17.2289,0.322995,2,2,280.786073102105,56.8329869472559,4.5224,2.74694,5.29129295,,,
274,160471617,0.0006448612548410892,4477,1684.1603294425156,0.9984397766112172,8.787809769136192,0.17114262990527607,14.75559782361784,12.11800003,3457.0,0.449626,3.0,0.1604,0.4325,4.78184986,0.03693693737062165,0.9986694313897884,0.9983613132600998,0.8689179042264145,11.952048417291813,7.566184759407532,0.446154,57.8169,0.0260132775,4.90829,3,3,237.35776576446702,75.266752801205,8.08024,-186.05900000000003,186.2343732,,,
275,147626911,0.0001229555637110025,4498,1684.4840162309686,0.9985504041366872,12.537984083862732,inf,20.155214943060265,11.05700016,4577.0,0.79395503,2.0,0.4913,0.1645,4.49761009,0.03424116373866968,0.9986968510867458,0.9991724433858128,1.7094285507693592,16.75620171997194,13.30510606695276,0.723,113.852,0.249235734,1.44461,4,4,184.438681459776,62.208681946805804,-76.1788,-73.4125,105.79510729,,,
276,271432402,1.4819181160419248e-05,4502,1692.6285138853616,0.9980810465452752,9.775148142417816,0.2769840597571891,24.30648269640345,11.53489971,3631.0,0.49223199,2.0,0.2125,0.3984,4.74420977,0.04068917639399338,0.9984791641961012,0.9980438091589364,1.7766076120341567,19.179734757758037,8.516246453337057,0.490326,53.6313,0.0379436761,4.11126,2,4,295.012424809347,43.3264043951741,2.74288,-67.4753,67.53102621,,,
277,120891206,0.0003966150397900492,4503,1683.7504403652679,0.9369480441371976,0.6534922352005454,0.001862248856906279,0.994612636851104,11.77690029,5678.85009766,1.22140002,25.0,0.371,0.2094,4.26867008,0.2303345770717546,0.933726393184148,0.9313882685325772,2.2240317536834007,39.0493634174787,12.324792319166972,1.01,370.837,1.397824,0.554303,1,2,286.412304903541,37.908235286197,6.782539999999999,16.8753,18.18731973,0.219717,,
278,378089068,0.0045760818757116795,4509,1683.5006690901316,0.9635511591564774,1.950797828086793,0.005716059146128383,1.7028282460227993,11.01239967,6495.04003906,3.04267001,8.0,0.3237,0.2388,3.59541011,0.17625364407845398,0.960361459823511,0.9629448403056242,4.511543839991691,272.4086402640756,24.14365345895143,1.33,781.9789999999998,14.8433495,0.0472157,1,1,294.77217051096403,40.4595981066372,-9.48907,-16.5725,19.09686377,-0.055117,,
279,137732734,0.0029665781185030933,4510,1684.0427006007635,0.9971915705534526,12.160169542155915,inf,19.02673213708665,10.63059998,4857.81005859,0.808424,2.0,0.4508,0.1887,4.52096987,0.047938408494152776,0.9976796129888779,0.9980666086604773,2.114722223748647,24.589264793108672,8.459031152444325,0.7909999999999999,108.883,0.32789509999999994,1.4971299999999998,4,4,174.233203402249,56.0182286376223,-102.48899999999999,-9.46302,102.92494289,0.114,,
280,219816151,0.004313112236559391,4524,1685.2831506285986,0.9775423333555352,11.123110383946841,0.2869962083902893,16.204190175852023,10.35739994,5480.0,0.91864198,3.0,0.3862,0.2061,4.49358988,0.13709557071326833,0.9806197963007628,0.9798155699263554,4.9300660600007244,51.125403817926674,8.052067621269309,0.959,138.08100000000002,0.6856612,1.23703,3,1,267.476626184573,60.114168112544796,5.662000000000001,-3.1181099999999997,6.4638111,,,
281,159504532,2.200961534981616e-05,4525,1693.4892189138934,0.9998301977349474,13.425158563292134,inf,22.09683152759713,8.67389965,6079.0,1.10090995,2.0,0.3276,0.2297,4.41146994,0.012031594283181336,0.999824506559963,0.9998759016876476,1.2512389295961177,9.790398076478565,8.436735854068328,1.14,92.3185,1.49116421,0.854381,4,3,145.147006107539,69.593871771839,-5.37641,-55.2003,55.46150832,,,
282,230081905,1.8639059362612895e-06,4528,1692.9300899639125,0.9996772265474938,10.054936320649016,0.16344089750157131,22.86424304286737,10.19909954,6144.0,1.06868994,2.0,0.3276,0.2297,4.44669008,0.016588241251533426,0.9998716713173842,0.9995517701632272,3.485325254326472,8.930944819739281,7.560391509531456,1.165,182.701,1.46622622,0.954495,3,4,245.729781608291,68.4061131399541,0.29128000000000004,44.2529,44.25385862,,,
283,356980223,0.008596019819378853,4536,1690.6394862742698,0.9980901676015816,7.310244950311036,0.14037468402566633,11.952752038111177,10.23400021,5330.0,1.13680005,3.0,0.4036,0.2028,4.29001999,0.039854032978916924,0.9977990112000736,0.9996984704340244,11.330629397368655,27.426628437602957,9.642981358444516,0.919,152.643,0.939655542,0.625558,2,2,273.923967131098,58.808286530302894,6.9785,-18.702,19.96156973,,,
284,287135483,9.770357792149298e-06,4545,1683.577889308642,0.9981238269929542,1.1587403092799389,0.0011425009002427045,0.556578966351865,7.13967991,7573.0,2.0875299,23.0,0.2353,0.2551,4.04357004,0.04061095765731084,0.9983110695546354,0.998251415692276,0.1881542038468579,16.01702323226458,11.480488468359814,1.757,118.469,12.9131966,0.193139,2,1,295.067136160152,55.7940261880622,35.472,61.3448,70.86217095,,,
