rowid,TIC_ID,Probability,rowid_0,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde,Mass,distance,lum,rho,Camera,CCD,RA,DEC,PMRA,PMDEC,PMTOTAL,MH,Disposition,Comments
1307,184419029,9.480566518504928e-07,18829,1683.6630138054595,0.9852872223317236,0.7660724136292582,0.002629070603648309,1.197033223516709,13.92090034,3635.0,0.42528901,22.0,0.1671,0.4201,4.8036499,0.11341576743298484,0.9857595159645592,0.9843440044532592,0.29021120992764377,8.717089275998138,8.937723302926349,0.41971,133.215,0.0284498949,5.4562800000000005,1,1,296.261031330964,39.778181497265294,-41.601000000000006,20.3285,46.302171799999996,,,
1308,233168801,3.7459421675656296e-10,18842,1683.7052745554806,0.9983289622667963,0.8395055158556436,0.0011158295823674447,0.4840447363950338,7.98311996,7408.0,1.63530004,31.0,0.2683,0.2357,4.23927021,0.03815687783757153,0.9985193934337242,0.9983812744684472,0.6483848887765045,19.343240158272927,11.968603356351604,1.692,132.968,7.2559369999999985,0.386908,4,1,214.86926921762,67.0941544236739,-47.3899,-5.68161,47.72927104,,,
1309,243318316,7.7521118413415e-09,18849,1683.357054813676,0.9996675513785624,0.7834438081081827,0.001017565947747101,0.486814953829379,8.03293037,7700.0,2.06985998,34.0,0.2353,0.2551,4.0636301,0.017094998118595356,0.9996888491605741,0.999690346998276,0.02615188024308146,13.32065937384592,10.388219199786429,1.809,181.29,13.568683600000002,0.203994,2,1,289.678520727553,57.014370922157205,15.6803,-1.1721,15.72404612,,,
1310,236816404,0.06324786692857742,18851,1683.5216280012467,0.9892287997862448,0.9834181998520632,0.0078084040300501764,2.157433075989757,9.58607006,7300.0,1.57264996,23.0,0.2757,0.2311,4.26229,0.09678045353209536,0.9902986928696508,0.9899838180749782,1.3931269756463212,47.02433671827879,8.553326715256071,1.65,262.087,6.32777643,0.424215,2,1,283.632837720578,57.7866003167653,1.2637399999999999,-25.0518,25.08365448,,,
1311,159505118,0.0007232754724100232,18863,1683.4755959360125,0.99473326922394,0.7009476628306104,0.006429762682823581,1.8895617290363584,12.9907999,3156.0,0.22084101,38.0,0.1533,0.4776,5.02872992,0.06766364654398288,0.9952714887160832,0.9953733177963158,0.1733840583323969,23.70952358226877,8.362179244802574,0.190028,31.9304,0.00435915263,17.6432,4,3,145.138701852248,66.3284942910461,-44.4069,40.9226,60.38734932,,,
1312,235679672,7.307754956720203e-10,18871,1683.5970473269626,0.999554409615712,0.6166476638470343,0.0004927077632557175,0.4259631933874968,7.41207981,7527.0,1.55757999,42.0,0.2559,0.2329,4.29346991,0.019755636944715136,0.9995791841483233,0.9995939604938718,0.31449757148238755,18.12452815624171,13.705475765301326,1.739,100.028,7.015903,0.460201,3,2,286.98540432352,72.26707048471609,11.9895,-1.95842,12.14839574,,,
1313,164524541,4.637978690880118e-06,18882,1683.4224029567938,0.9737140947521428,0.6301148493532459,0.0015213551300900519,1.3585105315937642,11.4914999,3863.0,0.61510801,41.0,0.2946,0.3316,4.6384902000000015,0.14917069078459294,0.9763588975030668,0.9760616684872532,0.528145088959419,53.70911159965891,14.954277085605712,0.600244,77.3241,0.0759095252,2.57913,2,3,283.38567782369097,47.4352252303259,32.559,142.852,146.51546807,,,
1314,147896380,0.008671948686242105,18890,1684.370343701408,0.9997652327218012,4.507463711278888,0.09787185229286344,11.862341912946901,8.24499989,6834.02978516,1.7753700000000001,6.0,0.3096,0.2225,4.10858011,0.01420680618068316,0.9997823930736462,0.999797629644298,0.5084376930947117,19.331890973043468,7.394068967878439,1.476,144.955,6.19412136,0.26376700000000003,4,3,164.21096781319,70.0107169583173,-11.9787,-24.3963,27.17846036,,,
1315,154925091,0.012715782038867474,18891,1684.6083172788572,0.998716987261892,7.029624701156568,0.17772885179969355,14.642024919838786,8.8559103,7719.0,1.75753999,4.0,0.2396,0.2457,4.20761013,0.033585762099420366,0.998113324460842,0.9995924456796892,22.367893699141078,40.19349057288803,7.209546751793084,1.817,222.492,9.879806,0.334688,4,2,203.954772886125,87.2934145207315,-7.12295,5.50475,9.00214915,,,
1316,417827339,0.00014383494271896782,18900,1693.2350308644905,0.9980864853496528,13.42518935444626,inf,21.90127130117106,10.24339962,5242.0,0.80409002,2.0,0.4136,0.1999,4.5792799,0.03982402332912235,0.9981035660266179,0.9985678432407924,3.649844116151395,39.54622648092668,13.613214572398384,0.895,103.739,0.439837575,1.72151,4,3,137.790811044895,65.7273649192625,-33.5751,-19.3135,38.73368847,,,
1317,294469624,9.80717049969826e-06,18904,1683.959381280753,0.9971676613526768,0.7366034963479032,0.002184448260064253,2.0470349863768567,12.04990005,3423.0,0.431642,34.0,0.1555,0.4459,4.79792976,0.04974976509455413,0.9976153149706634,0.9973456511963624,0.8618091510293576,16.686338346813503,15.544619335592465,0.426688,52.0483,0.0230446272,5.30566,2,4,301.96478547053,52.386940203151795,182.752,301.158,352.27039965,,,
1318,120963587,0.000310618634102866,18906,1684.4839774226155,0.9984161343597172,1.8280298938250656,0.02633097329081036,3.1610488901427316,9.99460983,6463.0,1.31965995,10.0,0.3079,0.2295,4.31574011,0.036888011186938637,0.9985512176785708,0.9984917028384708,0.5495607347667657,35.035663868485784,7.433345949694949,1.314,220.925,2.73751473,0.571752,1,2,286.62497628236,37.8243265583009,2.5015400000000003,8.48202,8.84321014,,,
1319,159414803,1.2124894965381827e-05,18915,1695.0873491983814,0.9752311727695296,13.425114754285678,inf,24.306437185743395,13.04889965,3324.0,0.27125099,2.0,0.1529,0.4604,4.95906019,0.14698927849724072,0.9735675005647328,0.9839791035781372,9.196301588765524,35.127890388073354,7.422365815577438,0.244194,44.8956,0.008092476999999999,12.2355,3,3,238.72228404640202,80.1668698910028,109.679,-275.14799999999997,296.20247289,,,
1320,198555943,2.8374333851388656e-06,18920,1684.8368455692184,0.9998270138419444,4.970013417156459,0.07120721522709905,10.27168422528702,8.76397038,6388.0,1.40472996,6.0,0.3332,0.2167,4.24942017,0.012146006697362058,0.9998882036395144,0.999796923328792,2.223984926450532,10.744804978176855,8.549150486635325,1.278,132.30100000000002,2.96031117,0.461059,3,4,238.05017190268902,64.9484276063196,10.1058,-73.9272,74.61473108,,,
1321,352012002,0.0007915397873148322,18925,1683.596172651516,0.9516854419179406,0.6675365608065851,0.0038337067090181134,1.8422933457464443,11.79500008,6310.56005859,1.52354002,39.0,0.3383,0.2164,4.16578007,0.20278989460567204,0.9572645005900486,0.9573834381587908,0.332848068326472,124.89867246020997,12.086143058465614,1.24,561.566,3.31646776,0.350637,2,3,285.616204831004,44.215673518280106,-5.85579,-14.1035,15.27085423,-0.29677299,,
1322,219592337,0.00028061511693522334,18926,1683.5973131142907,0.9889442481499402,0.6556529856201686,0.006159258011261659,1.384604272307294,12.31410027,3202.0,0.25648299,31.0,0.1533,0.4776,4.97771978,0.09803450965479957,0.9912461304947856,0.9890342390275388,3.9123611301050976,43.35827312061944,7.003568253310845,0.227911,28.4686,0.0062301312600000006,13.508,1,4,305.964374530971,19.997592611903897,77.2094,-10.0185,77.85667467,,,
1323,286387944,0.0038026366382837296,18927,1689.8116388573496,0.9960254757225976,6.875726592977582,0.18635684022840016,15.415146199357721,10.35169983,5777.0,1.33083999,3.0,0.3662,0.214,4.20475006,0.057858528452712825,0.9967139067356408,0.9931859460429262,8.980476304283416,36.68156630024754,8.513984581261782,1.035,206.035,1.777291,0.439095,1,4,312.68366836942903,24.5489487175959,15.6015,36.2582,39.47231776,,,
1324,198240534,0.15240848064422607,18945,1685.0113316105871,0.9997327973368386,12.401777026459769,0.1351382861568453,6.247403333463566,8.54209995,6132.0,2.7973299,3.0,0.3494,0.2332,3.60904002,0.01502322145270381,0.9997355230390949,0.9998024345456528,1.0240068665667688,10.500323325126876,7.536622826208882,1.16,221.46,9.96762848,0.0529938,3,1,249.442833381479,62.5534007567012,0.843143,-9.9521,9.98775173,,,
1325,165553746,1.0728170352081179e-08,18946,1688.7971696574273,0.9998268011893232,6.949571275974956,0.1123271280789293,11.44861701868171,8.00119972,6267.0,1.2789700000000002,4.0,0.3174,0.2305,4.31070995,0.012174590569310795,0.9998603546188664,0.9998292292833836,0.9285681380480348,13.347137915653873,8.011873240821313,1.22,82.7019,2.27326965,0.583154,2,2,267.071678066302,54.991761718225,-19.2456,34.52,39.52244324,,,
