rowid,TIC_ID,Probability,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde,Mass,distance,lum,rho,Camera,CCD,RA,DEC,PMRA,PMDEC,PMTOTAL,MH,Disposition,Comments
1213,453432481,0.2640714645385742,1874.0723084175504,0.9949573626917716,7.441326797536735,0.12676789561806334,9.122949715639137,7.83475018,6934.0,3.748,4.0,0.2964,0.2488,3.47059989,0.06584317262855909,0.9953007354428084,0.9958077709444912,1.84123359486255,44.71495165256258,9.66199918618103,1.514,253.702,29.256916,0.028756,2,3,147.52448955957502,49.075486383125494,-3.83871,-4.78411,6.13379189,,,
1214,147951600,8.409157051247894e-12,1870.6021413065882,0.9971645624626602,0.7660560290733014,0.0009685654631493844,0.4760272586410217,6.29152012,8511.0,2.37493,35.0,0.1911,0.2468,4.01269007,0.05038044430969266,0.997397049228188,0.9972972105588584,0.6289288851825936,25.447827486984444,14.111338200840907,2.1180000000000003,105.776,26.6636658,0.158115,3,1,168.045585988453,68.2718712852091,28.5993,6.77532,29.39089862,,,
1215,355921170,0.14123041927814484,1871.0683161586303,0.999522360187018,0.7965455246317357,0.0030644164471441693,1.7240832566482602,10.14239979,4504.0,0.722291,33.0,0.5037,0.1581,4.57189989,0.01961780516036995,0.9996158229150944,0.9995380686592006,1.0154513143745727,15.740460734605605,13.479219200612668,0.71,65.8683,0.193425134,1.88418,2,3,139.08982268927798,49.918968405422795,-88.4111,-16.0203,89.85083536,,,
1216,117411688,1.4472242071406072e-08,1870.689985387456,0.9988496095434448,0.6059412292253483,0.0004726432047017504,0.3873142879033349,8.21364021,7564.0,1.87122,40.0,0.2353,0.2551,4.13784981,0.031800168723369014,0.9989904627091104,0.9987476902233154,1.4079037513876231,15.749115787601252,17.50065520496319,1.754,174.13299999999995,10.3264875,0.267702,1,3,132.408456687399,26.798759376749807,-9.05054,3.20547,9.60142241,,,
1217,39074755,0.0013452342245727775,1870.6895432654007,0.9886327603837162,1.57422410767656,0.016050509281386294,3.822636836984457,10.07999992,4733.0,0.8667379999999999,16.0,0.4776,0.1729,4.44310999,0.09607293643076006,0.9899110167646188,0.9900879173911206,0.6300143664344388,94.94970170407025,9.70090341010295,0.76,85.9148,0.339637756,1.16721,1,2,139.561935113733,36.1524031232323,9.21454,-16.1998,18.63709386,,,
1218,56938808,5.426406914921246e-07,1871.124585984604,0.9977885144442604,0.7966077816595756,0.0013612752783661586,0.6078314873066478,9.50969982,6757.33984375,4.21019,33.0,0.3011,0.2475,3.35083008,0.04356951162171036,0.9981612528183356,0.9977532385331124,1.5495873499763926,19.37984778450549,9.022133290995695,1.45,586.5369999999998,33.2967033,0.0194296,2,4,172.70063190122696,47.8351332108924,-7.87811,-11.8518,14.23129581,,,
1219,202427220,0.009630248881876469,1870.689891637777,0.9886180256650232,0.7838118857899175,0.00632451514193122,2.131471251102266,11.05609989,4029.0,0.906356,34.0,0.339,0.2994,4.32281017,0.09761071004663964,0.9900055958442135,0.9901223662216112,0.967433651197744,119.95668495342224,9.40639138309038,0.63,94.8769,0.195020825,0.846145,3,3,226.578643436357,62.170689953603,-31.115,44.1696,54.02866636,,,
1220,298049684,2.1339905537098855e-11,1870.8948564366024,0.9981768036877272,0.6865932632151742,0.0008431360002512657,0.41967548939855626,9.26194954,7466.0,1.70572,38.0,0.2683,0.2357,4.20850992,0.03985624869801569,0.9984022804651398,0.998228295615295,0.7484538541166255,17.22913670493778,9.461007194901695,1.715,250.52,8.144503,0.345571,3,4,191.33114433648998,78.86781140914941,5.9656,6.94498,9.15538806,,,
1221,115859856,7.413829052893561e-07,1870.4391554785034,0.9991633293335704,1.2307899892770888,0.0018224050437852801,0.5073057088820023,7.17717981,7581.0,1.98631,23.0,0.2353,0.2551,4.08772993,0.027119648768465024,0.9991623683401826,0.9992856719217782,0.9370035388465756,15.916510127340727,12.590425067430134,1.761,113.161,11.7407446,0.224707,2,4,158.119329983917,44.18174651005511,-70.2771,-11.1472,71.15568039,,,
1222,160602772,1.1793863108344738e-10,1871.5910620509976,0.9971576688261048,1.2525753752064337,0.0024952780255003137,0.7281202939117303,8.73711967,7106.0,2.11135,20.0,0.2801,0.2331,3.98706007,0.04966414824116114,0.9973174292086944,0.9974442509159748,0.4908066910228638,21.503704235705584,9.199509018766117,1.578,226.796,10.2403393,0.16766,4,1,244.485238234637,75.6596828656717,2.38051,6.13726,6.58276448,,,
1223,147921641,0.07118458300828934,1872.8871595442188,0.9993991768360748,12.140813474474212,0.16554679548637896,5.7013612814142425,9.50380039,5726.0,0.8900110000000001,3.0,0.371,0.2094,4.54788017,0.022484497716545725,0.9995942492957596,0.9991691529357976,3.0275261461504126,11.877765160701149,7.040836167329067,1.02,98.6855,0.7671684,1.44682,3,1,164.895395444123,68.0847991407372,-34.513000000000005,-46.9558,58.27516043,,,
1224,229641533,1.8843254565581449e-06,1870.5487282578365,0.9984475176804408,0.6975109385922024,0.001428209426494742,0.5603091268340229,9.13879967,7895.0,2.14647,38.0,0.2396,0.2457,4.05108023,0.036944777447578486,0.9981207636598314,0.9985315485163002,2.4362157443840142,22.981232466439586,9.285451661082519,1.89,315.677,16.1269188,0.191113,4,1,279.25733181245,75.59643806160369,-5.04055,-7.190930000000002,8.78160683,,,
1225,229538190,0.0009870773646980524,1870.9566658882407,0.9997796259902824,0.7319522644400541,0.004864901824234602,2.005397824859805,7.19329977,7815.0,1.73951,35.0,0.2396,0.2457,4.22579002,0.013919380605597666,0.999799728581532,0.9997916109832392,0.3814129717383472,24.24371123414077,8.151890544785651,1.856,106.101,10.16866,0.352613,3,4,221.792375241738,76.04225963927159,-28.6572,9.2229,30.104767,,,
1226,56884086,3.856540843116818e-06,1870.9431181082025,0.9962983198692159,0.6900119468390347,0.003931461909211342,1.7714638523395676,13.45810032,3130.0,0.199231,34.0,0.1606,0.4974,5.06527996,0.05653890316947657,0.9966960224762786,0.9966117693591752,0.12657981406616586,14.202849249306338,8.29329423992545,0.16824,34.6591,0.003432305,21.2745,1,2,139.034471296018,46.12352982233421,88.0839,-22.8948,91.01068787,,,
1227,229758994,1.428668017222634e-10,1870.9231078414086,0.9992399873863572,0.6267525918423512,0.0007508190473708988,0.5670836570819631,9.23960018,7543.0,1.78167,40.0,0.2353,0.2551,4.17820978,0.025847419368722053,0.9992971585423094,0.9992989315876886,0.011159453102979376,12.210449866378815,7.226177661593003,1.745,261.115,9.258221,0.30854000000000004,4,1,281.075205465801,71.242395878118,8.28378,29.7342,30.86654598,,,
1228,353894978,1.9147793864249245e-05,1871.1100537410416,0.8276237992253204,1.6716665056157325,0.0045840859829148215,2.989129612643012,10.31970024,6292.0,1.94345,15.0,0.3383,0.2164,3.95081997,0.3830416116116474,0.8430064250065608,0.8402541899697589,0.845086082746855,1210.2068300423332,25.252373254468733,1.23,356.685,5.333327,0.16756500000000002,4,3,271.685973321098,56.4070563954253,-8.21445,-4.91412,9.57213478,,,
1229,137905775,0.3248920440673828,1870.8134210773069,0.9812854639061576,0.8061681128304491,0.0013831363294168342,0.6656051478839435,13.8071003,4052.0,0.972383,33.0,0.3955,0.2618,4.26173019,0.12422060548573607,0.983200169130312,0.983586369550038,0.3274690977261799,39.895015523703705,18.02035925820233,0.63,362.506,0.229639888,0.685217,2,3,151.754309223515,54.3712501140475,49.4227,-30.2013,57.91996026,,,
1230,286689852,5.251047860421743e-11,1870.7632556110987,0.9991048412640008,0.6934160537795282,0.001415099296425859,0.8710902791717194,6.71335983,7612.0,2.48096,35.0,0.2353,0.2551,3.89754009,0.028051546960554702,0.9991454538900566,0.9991426689251578,0.046331502337656566,29.393886291322016,11.617565553685406,1.773,117.067,18.617857,0.116104,1,4,142.598125798724,21.812688335868202,-49.9814,-22.9479,54.99769505,,,
1231,233170668,0.07294388115406036,1876.5280566435245,0.9997598238756076,7.388165987730537,0.0930693052526057,4.676662948881595,7.2589798,8755.0,1.97792,3.0,0.1838,0.2463,4.18747997,0.014683395517783696,0.9997389533847858,0.9998416647993288,1.856958241776194,12.68710002248338,7.051038379084848,2.197,141.377,20.7079258,0.283925,3,3,215.28217738433997,67.802910895876,-35.1408,6.49678,35.73631172,,,
1232,308016265,1.883745426312089e-05,1871.3166078809008,0.9811787538878332,1.0669643061926473,0.010572327437957552,2.7773188520666676,7.07490015,4810.0,1.20243,22.0,0.4612,0.1879,4.17004013,0.12384819142446275,0.9836953049743145,0.9837055947930546,0.01929668687254073,40.201441583469375,10.281909799406732,0.78,31.1331,0.6972632,0.448655,1,4,150.00712608773,24.5528050323807,-235.719,-38.9847,238.92101999,,,
1233,459981057,8.319806511281058e-05,1870.9335194266407,0.9996923092041736,1.5554655258008885,0.01658848360420329,4.100944811830194,9.45359993,6871.0,1.7665400000000002,17.0,0.3026,0.2256,4.11701012,0.016281458072432572,0.9997373669979144,0.9997064530866736,0.6360492112515681,16.097659433648744,8.735891606758717,1.49,252.784,6.26645231,0.270281,4,2,255.908851241948,61.3203032646325,-5.79895,48.1653,48.51313168,,,
1234,198187777,0.5101645588874817,1870.6105905777085,0.9989446320137662,12.402007292986815,0.05291918906976623,2.6245162217762217,10.08679962,5130.0,0.783205,3.0,0.4244,0.1961,4.58481979,0.029522460118208683,0.9987838635267308,0.999523160434824,3.4874796171083737,12.683904785000925,9.170723357894232,0.86,92.3459,0.382750034,1.79008,4,2,246.02844927433,61.078037468905286,19.0329,-25.23,31.60386341,,,
1235,142587827,2.9119317446202325e-07,1870.7082581214706,0.8480711249213713,0.6590136481067976,0.0021144176524537928,1.786360423764854,8.41654015,6696.0,1.7939200000000002,41.0,0.3158,0.2206,4.08274984,0.3610400400532156,0.8534971725134272,0.8739278417334198,12.48337614858794,60.545623165161324,12.764221478103435,1.42,151.38299999999995,5.82861042,0.245966,3,1,167.870400482306,73.11527688489801,-92.1672,-1.13025,92.17412989,,,
1236,55753808,6.446342695198837e-07,1870.6593510454127,0.8388623107290346,0.6233924824747177,0.001963369373799817,1.676206108862187,15.13599968,33620.0,0.127,42.0,0.1221,0.2303,5.90256023,0.3852199159931721,0.8400131681470472,0.854049857479212,4.120630520316047,55.94139479441926,12.820335655759516,0.47,1090.28,18.564916600000004,229.449,2,1,181.601735244039,57.160041132875214,-7.47536,-16.9224,18.49996294,,,
1237,16221427,1.4532828629398867e-07,1871.207038447615,0.9995435884746379,1.1330833392823396,0.0010892319999464828,0.4932752251835841,8.77099991,7766.0,2.07625,22.0,0.2396,0.2457,4.06832981,0.020031710017859958,0.99960475196916,0.9995069274088476,1.0265204138052602,12.196614073342884,11.505851557495001,1.84,256.961,14.1267462,0.20558,1,1,153.43189150186,39.3388541568299,-8.39979,5.69911,10.1506811,,,
1238,160603693,6.545090400322807e-06,1870.7903982134635,0.9989048290620408,0.7847513876930038,0.003344253857560209,2.103646367968416,6.85251999,7630.0,2.32417,33.0,0.2353,0.2551,3.95595002,0.031027568596538907,0.998997652441316,0.9989681054920388,0.4086707270006281,32.49863989996585,10.309134599365944,1.78,116.368,16.49407,0.141781,4,1,244.955223020448,76.1431463446221,5.77842,15.0716,16.14135262,,,
1239,8118014,5.715325642086099e-06,1870.8082106393692,0.99555419002258,0.7124493463068787,0.006177835349426064,1.819071370028434,12.79469967,3247.0,0.23409,34.0,0.1533,0.4776,5.00860977,0.0621670540831014,0.9959734243813496,0.9960354798661604,0.16139039517700332,27.823610113895025,7.2894281378409795,0.203848,32.8815,0.00548769,15.8912,1,1,154.845993658065,39.3833401727765,139.445,-6.85955,139.61361485,,,
1240,232971368,7.765187547192909e-06,1870.6905449049289,0.9917711217216112,0.9186698099092676,0.003706394793286994,2.3859327316776047,7.27050018,6247.0,2.04038,29.0,0.3451,0.21600000000000005,3.90142989,0.08358255417495618,0.9925841608021716,0.9926077887214116,0.16486759179152793,60.36337126125021,11.724291313209765,1.21,94.3284,5.71216774,0.142448,3,2,199.405884271822,71.24674720587599,-81.7143,29.8632,87.00021574,,,
